date,open,high,low,close,volume
2007-10-26,32.0,35.33000183,29.01000023,34.99000168,159020400
2007-10-29,34.59999847,34.59999847,32.0,32.0,23786900
2007-10-30,32.0,32.25,31.01000023,31.14999962,11865000
2007-10-31,31.52000046,33.0,31.48999977,32.5,8228100
2007-11-01,32.59999847,32.97999954,31.62000084,32.93999863,7338400
2007-11-05,32.20000076,32.90999985,31.79999924,31.79999924,6230600
2007-11-06,32.59999847,33.0,32.0,33.0,3861500
2007-11-07,32.50999832,34.47000122,32.29999924,34.0,5589300
2007-11-08,34.0,34.95000076,32.86999893,34.0,6240500
2007-11-09,34.09999847,37.79999924,34.09999847,37.0,25327300
2007-11-12,36.09999847,37.20000076,35.88999939,36.65000153,5747600
2007-11-13,36.66999817,37.04999924,35.40000153,35.79999924,2585700
2007-11-14,36.75,37.36999893,36.33000183,36.40000153,1836000
2007-11-16,36.47999954,36.79999924,34.90999985,35.25,3052200
2007-11-19,35.38999939,35.38999939,33.02999878,33.40000153,3042200
2007-11-21,32.93000031,32.93000031,31.04999924,31.98999977,5994300
2007-11-22,32.0,33.5,31.85000038,32.45000076,1226400
2007-11-23,32.75,32.90000153,31.89999962,31.89999962,1173500
2007-11-26,32.20000076,32.65000153,31.10000038,31.5,1513400
2007-11-27,31.20000076,31.30999947,30.0,30.0,4565900
2007-11-28,30.79999924,32.29999924,30.52000046,32.29999924,4233500
2007-11-29,32.34999847,34.59000015,32.34999847,34.58000183,6881800
2007-11-30,35.84999847,36.0,33.0,33.90000153,6279200
2007-12-03,33.95000076,33.95000076,32.5,32.5,2495900
2007-12-04,32.0,33.29999924,31.80999947,32.59999847,2452000
2007-12-05,33.00999832,34.90000153,33.00999832,34.5,4189800
2007-12-06,34.50999832,35.20000076,34.40000153,35.20000076,3771800
2007-12-07,35.22000122,35.65000153,34.70999908,35.5,1629300
2007-12-10,35.29999924,36.0,35.25,35.84999847,1283200
2007-12-11,36.0,36.47000122,35.52000046,35.59999847,2232200
2007-12-12,35.45999908,36.06000137,35.40000153,35.90000153,1793600
2007-12-13,35.5,35.99000168,33.79999924,35.95000076,2219500
2007-12-14,35.59999847,36.13999939,35.29999924,35.54999924,1968100
