date,open,high,low,close,volume
2013-04-29,5.89465939,5.89465939,5.59905689,5.77294064,85582800
2013-04-30,5.77294261,5.9398709,5.77294261,5.92943764,26950200
2013-05-02,5.91204987,6.08593369,5.90509435,6.08593369,16057200
2013-05-03,6.05811118,6.20765134,6.04072306,6.17287445,13031000
2013-05-06,6.17287583,6.25633998,6.13462117,6.23547411,19911900
2013-05-07,6.22156191,6.24242844,6.01637898,6.22156191,7255800
2013-05-08,6.19026371,6.2180851,6.02681316,6.08593369,10770000
2013-05-09,6.07549929,6.17287445,6.03724531,6.17287445,8355600
2013-05-10,6.15548666,6.24242855,6.10332099,6.22851753,7967400
2013-05-13,6.19026463,6.22156377,6.05463544,6.2006979,56364900
2013-05-14,6.15548663,6.27720476,6.15548663,6.25981665,21295600
2013-05-15,6.25633967,6.45108936,6.24242931,6.39892435,15626700
2013-05-16,6.35023554,6.53802967,6.32936967,6.53802967,6325600
2013-05-17,6.49282277,6.57280918,6.46847914,6.5519433,6700800
2013-05-20,6.49282161,6.572808,6.36414729,6.45456696,2878000
2013-05-21,6.43370008,6.43370008,6.3119813,6.43370008,3956700
2013-05-22,6.38501397,6.4545671,6.23547378,6.34675932,4746800
2013-05-23,6.25981632,6.29111546,6.15896341,6.20417356,9282800
2013-05-24,6.17635366,6.27372885,6.12071089,6.27372885,3553500
2013-05-27,6.22851868,6.32937162,6.21808541,6.27372885,2299100
2013-05-28,6.27372729,6.38153505,6.25286076,6.38153505,4404600
2013-05-29,6.29459447,6.32241586,6.16244239,6.29111671,4862800
2013-05-31,6.25981544,6.42326593,6.19026167,6.42326593,9987300
2013-06-03,6.38501326,6.41283464,6.23547309,6.3293705,7616500
2013-06-04,6.32936987,6.32936987,6.1728742,6.19026232,6102100
2013-06-05,6.19026256,6.29807099,6.12070945,6.17287445,8793800
2013-06-06,6.17982972,6.23895023,6.1207092,6.19026232,3943400
2013-06-07,6.138099,6.25634005,6.0928895,6.22504091,5410100
2013-06-10,6.15896303,6.25981594,6.15548594,6.24242783,3395600
2013-06-11,6.20765226,6.2389514,5.73816584,6.07202244,4884700
2013-06-12,6.09288891,6.15200943,5.96421459,5.99899149,3863700
2013-06-13,5.97464844,6.22504091,5.91205015,6.22504091,3606200
2013-06-14,6.21808492,6.36414735,6.19721905,6.30850458,11471900
2013-06-17,6.29459524,6.32937214,6.24590731,6.29459524,4869100
2013-06-18,6.25981653,6.31198154,6.1833079,6.25286102,4817900
2013-06-19,6.24242824,6.25981636,6.01985655,6.05811119,7752200
2013-06-20,5.98160363,6.047679,5.80771981,5.98508072,8908300
2013-06-21,5.93291523,6.06506729,5.84945108,6.06506729,4906500
2013-06-24,5.93291637,5.9468274,5.55732731,5.89466238,12899600
2013-06-25,5.85988616,5.96421621,5.7242563,5.80772114,6366000
2013-06-26,5.87727226,5.90161589,5.77989776,5.85292864,3390800
2013-06-27,5.81467463,6.08593362,5.81467463,6.01290274,6301100
2013-06-28,6.00594661,6.20417404,5.95378161,6.1207099,5578700
2013-07-01,6.00594729,6.23199612,5.95378227,6.08593369,4269600
2013-07-02,6.09288935,6.18330901,5.84249622,5.97812605,3728300
2013-07-03,5.96421459,6.10332151,5.87727269,5.99899149,4602900
2013-07-04,5.99899009,6.16939611,5.9642132,6.16591835,5186400
2013-07-05,6.11723214,6.20417404,6.03724575,6.1207099,7332500
2013-07-08,6.11723312,6.2876392,6.08245623,6.22504091,4159400
2013-07-10,6.25981634,6.25981634,6.12070945,6.17287445,4124000
2013-07-11,6.19026401,6.24242969,6.13114349,6.22504091,4249400
2013-07-12,6.16244221,6.20765237,6.12766597,6.16244221,3439200
2013-07-15,6.16244049,6.16244049,6.00246775,6.12418652,5793100
2013-07-16,6.08593371,6.12071061,5.9642149,6.05463457,3055600
2013-07-17,6.05115574,6.25286091,6.03376763,6.2459054,6742200
2013-07-18,6.19026309,6.39196827,6.17983049,6.27720499,3402100
2013-07-19,6.24590492,6.27372696,6.19721767,6.24242783,1694200
2013-07-22,6.23895078,6.29459354,6.22503975,6.25981665,2413200
2013-07-23,6.24938338,6.27720476,6.22851751,6.25981665,2540100
2013-07-24,6.24242876,6.27720499,6.17983049,6.27720499,1977700
2013-07-25,6.20069669,6.32241549,6.19721893,6.29807186,3145900
2013-07-26,6.29807186,6.29807186,6.29807186,6.29807186,0
2013-07-29,6.27720526,6.40935733,6.24242903,6.31198215,2801100
2013-07-30,6.2945931,6.39544535,6.27024947,6.39544535,2984800
2013-07-31,6.33284901,6.41631383,6.31546089,6.41283607,3346600
2013-08-01,6.4128353,6.52759859,6.35371477,6.49282169,3614400
2013-08-02,6.43370085,6.63192829,6.41978983,6.6041069,5523200
2013-08-05,6.57628472,6.78146764,6.54498559,6.74669075,6374100
2013-08-06,6.73278039,6.77451213,6.61801712,6.74669075,3746700
2013-08-07,6.68061433,6.90318601,6.5867176,6.81624413,6741200
2013-08-08,6.78146777,6.95535156,6.69452587,6.92057467,5228100
2013-08-09,6.88579895,6.95187498,6.75016978,6.93448687,3321900
2013-08-12,6.95535201,6.9901289,6.75712458,6.78494596,5182100
2013-08-13,6.81972193,6.8823202,6.76755627,6.83711004,3361100
2013-08-14,6.81276677,6.87536504,6.72930264,6.74669075,3669100
2013-08-15,6.72930264,6.83015489,6.61453936,6.74669075,8960800
2013-08-16,6.73625912,6.86493277,6.5901967,6.71539259,4835900
2013-08-19,6.68754411,6.7188594,6.47877634,6.49783946,4897900
2013-08-20,6.48360509,6.61171167,6.40887671,6.47648859,3678700
2013-08-21,6.43022627,6.61882751,6.3554979,6.57256651,4048100
2013-08-22,6.55121781,6.66153145,6.51563257,6.66153145,2313000
2013-08-23,6.59747809,6.92130245,6.59747809,6.87148285,4077600
2013-08-26,6.74337711,6.77896167,6.71490906,6.7576108,4006000
2013-08-27,6.65441422,6.74693489,6.62238758,6.74693489,3484000
2013-08-28,6.68999894,6.74337713,6.62594632,6.71490908,3386300
2013-08-29,6.67932292,6.76828566,6.64373769,6.76116848,4654200
2013-08-30,6.67932409,6.84657383,6.64373885,6.84657383,3807500
2013-09-02,6.77540366,6.85013204,6.77540366,6.83233976,2949600
2013-09-03,6.77896105,6.8679238,6.76116877,6.82878065,5987400
2013-09-04,6.79675396,6.86792375,6.77896101,6.82522202,1877100
2013-09-05,6.80031282,6.98891341,6.80031282,6.95688677,4234200
2013-09-06,6.939094,7.1099023,6.92841822,7.08143425,7978400
2013-09-09,7.0494077,7.31985452,7.01382246,7.2807107,6199300
2013-09-10,7.24156783,7.36967373,7.20954119,7.36967373,5235600
2013-09-11,7.2949462,7.51557414,7.26647814,7.42305279,7203600
2013-09-12,7.38034953,7.47642946,7.3447643,7.47642946,4667800
2013-09-13,7.44084562,7.50489892,7.42305334,7.4515214,2308400
2013-09-16,7.45507877,7.49066333,7.3234136,7.43016863,9339900
2013-09-17,7.38746691,7.56895101,7.37323255,7.53692436,6467500
2013-09-18,7.51557372,7.8322809,7.48354707,7.79313707,7528000
2013-09-19,7.77178848,7.82516602,7.52625102,7.73976183,5765500
2013-09-20,7.68638309,7.73976061,7.62944697,7.65079784,2971200
2013-09-23,7.68638143,7.73975895,7.53692399,7.61165237,3225900
2013-09-24,7.68638104,7.73975854,7.48710468,7.64012003,5959400
2013-09-25,7.61521162,7.78601994,7.5618341,7.77534485,2501600
2013-09-26,7.72196728,7.87142473,7.66858908,7.79313707,3635100
2013-09-27,7.75755356,7.88566017,7.70773462,7.88566017,2592200
2013-09-30,7.75755124,7.88565781,7.70773232,7.76110983,3580300
2013-10-01,7.73975962,7.99241352,7.6970572,7.99241352,2853100
2013-10-02,7.93547816,7.98529777,7.8358403,7.86430836,4816600
2013-10-03,7.84651241,7.89989059,7.59741718,7.68637991,3460000
2013-10-04,7.68637991,7.75754969,7.63300241,7.68637991,3831100
2013-10-07,7.65079832,7.83228246,7.62233026,7.82516527,5017800
2013-10-08,7.79313613,7.97106162,7.7468758,7.96394444,2529500
2013-10-09,7.93191913,8.1311955,7.89989249,8.12763691,4020200
2013-10-10,8.08849362,8.32691383,8.08493503,8.32691383,6824800
2013-10-11,8.27709535,8.34114865,8.23083433,8.30200481,5691900
2013-10-14,8.27709378,8.46925295,8.18813104,8.39452457,4245700
2013-10-15,8.36249809,8.4656952,8.23083293,8.45146084,3549600
2013-10-16,8.45146242,8.49772276,8.36961684,8.38029194,4807000
2013-10-17,8.35894196,8.50484085,8.33759108,8.50484085,5664100
2013-10-18,8.51551272,8.66141154,8.51551272,8.62226772,7660700
2013-10-21,8.61159515,8.75393543,8.58668501,8.61159515,3558200
2013-10-22,8.59380201,8.66497248,8.50839785,8.61871147,6122100
2013-10-23,8.57245254,8.60447919,8.38029263,8.39808559,4296000
2013-10-24,8.41943537,8.53686619,8.33047262,8.53686619,2918500
2013-10-25,8.47993002,8.54042473,8.44078619,8.46569633,2330400
2013-10-28,8.48704624,8.49416342,8.40164209,8.48704624,1836800
2013-10-29,8.46925494,8.51551596,8.38385077,8.44434547,2831200
2013-10-30,8.45145978,8.59024143,8.38740651,8.59024143,3444800
2013-10-31,8.55465866,8.70767403,8.52618993,8.70767403,4142800
2013-11-01,8.70767307,8.8001944,8.66141274,8.78951931,3171700
2013-11-04,8.75749498,8.81798969,8.55110139,8.63294697,5427900
