date,open,high,low,close,volume
2017-02-24,4.55000019,4.55000019,4.55000019,4.55000019,5200
2017-03-01,4.55000019,4.55000019,4.48750019,4.48750019,17200
2017-03-02,4.48750019,4.48750019,4.48750019,4.48750019,0
2017-03-03,4.75,4.75,4.625,4.6875,7200
2017-03-06,4.69999981,4.875,4.625,4.80000019,22800
2017-03-07,4.5250001,4.75,4.5250001,4.59499979,13600
2017-03-08,4.55499983,4.75,4.46500015,4.625,16400
2017-03-09,4.4749999,4.75,4.40749979,4.74749994,6800
2017-03-10,4.5250001,4.74499989,4.5,4.67250013,26000
2017-03-13,4.5999999,4.5999999,4.5999999,4.5999999,2400
2017-03-14,4.69750023,4.75,4.625,4.64750004,3600
2017-03-15,4.625,4.67000008,4.625,4.67000008,6400
2017-03-16,4.625,4.74749994,4.625,4.6500001,3200
2017-03-17,4.625,4.7249999,4.625,4.6500001,4400
2017-03-20,4.57499981,4.57499981,4.375,4.375,8000
2017-03-21,4.375,4.375,4.25250006,4.25250006,10000
2017-03-22,4.44999981,4.6500001,4.44999981,4.64750004,623200
2017-03-23,4.54500008,4.64249992,4.4749999,4.4749999,12000
2017-03-24,4.48000002,4.57250023,4.46000004,4.46500015,46800
2017-03-27,4.4749999,4.4749999,4.44999981,4.44999981,1600
2017-03-28,4.48750019,4.67500019,4.48750019,4.67500019,61200
2017-03-29,4.69500017,4.75,4.65749979,4.69750023,85200
2017-03-30,4.69750023,4.76249981,4.625,4.7249999,349200
2017-03-31,4.69500017,4.76749992,4.69500017,4.75,390400
2017-04-03,4.7249999,4.8125,4.67500019,4.8125,105200
2017-04-04,4.7249999,4.97249985,4.7249999,4.97249985,24000
2017-04-05,4.80749989,4.96000004,4.80749989,4.89499998,18000
2017-04-06,4.76499987,4.78999996,4.625,4.625,74000
2017-04-07,4.71999979,4.76249981,4.7125001,4.76249981,9200
2017-04-10,4.67749977,4.8125,4.67250013,4.74749994,19600
2017-04-11,4.74749994,4.75,4.63000011,4.67999983,11600
2017-04-12,4.625,4.77250004,4.625,4.77250004,27600
2017-04-13,4.65250015,4.65250015,4.5250001,4.60249996,39544400
2017-04-17,4.35249996,4.6500001,4.35249996,4.5999999,4008000
2017-04-18,4.5999999,4.5999999,4.4749999,4.5,3004400
2017-04-19,4.40250015,4.5999999,4.25,4.37249994,6914000
2017-04-20,4.26999998,4.48750019,4.26999998,4.375,2558400
2017-04-24,4.50250006,4.50250006,4.44999981,4.44999981,8001600
2017-04-25,4.44999981,4.44999981,4.44999981,4.44999981,0
2017-04-26,4.5,4.5,4.5,4.5,400
2017-04-27,4.5,4.5,4.5,4.5,0
2017-04-28,4.5,4.5,4.5,4.5,0
2017-05-02,4.5,4.57499981,4.42500019,4.57499981,51600
2017-05-03,4.6500001,4.75,4.5625,4.75,6040400
