date,open,high,low,close,volume
2000-01-03,3.5,3.75,3.5,3.5,5252000000
2000-01-04,3.5,3.5,3.25,3.25,5428000000
2000-01-05,3.25,3.5,3.25,3.5,8328000000
2000-01-06,3.5,3.5,3.5,3.5,12508000000
2000-01-07,3.5,3.5,3.5,3.5,3200000000
2000-01-10,3.5,3.5,3.5,3.5,5312000000
2000-01-11,3.25,3.5,3.25,3.5,4568000000
2000-01-12,3.5,3.5,3.25,3.5,10060000000
2000-01-13,3.5,3.75,3.5,3.75,14760000000
2000-01-14,3.75,4.0,3.75,4.0,13356000000
2000-01-17,4.25,4.25,4.0,4.0,6656000000
2000-01-18,4.0,4.25,3.75,4.25,13572000000
2000-01-19,4.0,4.0,3.75,4.0,8264000000
2000-01-20,4.0,4.0,3.75,3.75,6012000000
2000-01-21,3.75,3.75,3.5,3.75,7140000000
2000-01-24,3.75,3.75,3.5,3.75,5016000000
2000-01-25,3.75,3.75,3.75,3.75,0
2000-01-26,3.75,3.75,3.5,3.5,9116000000
2000-01-27,3.5,3.75,3.5,3.75,7376000000
2000-01-28,3.75,3.75,3.75,3.75,8648000000
2000-01-31,3.75,3.75,3.5,3.75,9912000000
2000-02-01,3.75,3.75,3.5,3.5,10520000000
2000-02-02,3.5,3.75,3.5,3.5,4972000000
2000-02-03,3.75,3.75,3.75,3.75,9112000000
2000-02-04,3.75,3.75,3.75,3.75,8808000000
2000-02-07,3.75,3.75,3.75,3.75,5876000000
2000-02-08,3.75,3.75,3.75,3.75,8536000000
2000-02-09,3.75,3.75,3.75,3.75,9104000000
2000-02-10,3.75,4.25,3.75,4.0,5840000000
2000-02-11,4.0,4.0,3.75,3.75,6104000000
2000-02-14,3.75,3.75,3.75,3.75,6228000000
2000-02-15,3.75,3.75,3.5,3.75,5980000000
2000-02-16,3.75,3.75,3.75,3.75,8824000000
2000-02-17,3.75,3.75,3.75,3.75,3708000000
2000-02-18,3.75,3.75,3.5,3.5,4244000000
2000-02-21,3.5,3.5,3.5,3.5,6248000000
2000-02-22,3.5,3.5,3.5,3.5,4624000000
2000-02-23,3.5,3.5,3.5,3.5,6256000000
2000-02-24,3.5,3.5,3.5,3.5,7676000000
2000-02-25,3.5,3.5,3.5,3.5,4760000000
2000-02-28,3.5,3.5,3.25,3.25,2144000000
2000-02-29,3.25,3.5,3.25,3.25,3784000000
2000-03-01,3.25,3.5,3.25,3.5,5796000000
2000-03-02,3.5,3.5,3.5,3.5,5696000000
2000-03-03,3.5,3.5,3.5,3.5,3712000000
2000-03-06,3.5,3.5,3.5,3.5,0
2000-03-07,3.5,3.5,3.5,3.5,0
2000-03-08,3.5,3.5,3.5,3.5,3712000000
2000-03-09,3.5,3.5,3.5,3.5,3728000000
2000-03-10,3.5,3.5,3.5,3.5,2544000000
2000-03-13,3.5,3.5,3.5,3.5,0
2000-03-14,3.5,3.75,3.5,3.75,7036000000
2000-03-15,3.75,3.75,3.5,3.5,3704000000
2000-03-16,3.5,3.5,3.5,3.5,6836000000
2000-03-17,3.5,3.5,3.5,3.5,3240000000
2000-03-20,3.5,3.5,3.5,3.5,1792000000
2000-03-21,3.5,3.5,3.25,3.5,3764000000
2000-03-22,3.5,3.5,3.5,3.5,5340000000
2000-03-23,3.5,3.75,3.5,3.75,5608000000
2000-03-24,3.75,3.75,3.5,3.5,6084000000
2000-03-27,3.5,3.75,3.5,3.75,3180000000
2000-03-28,3.5,3.75,3.5,3.5,5756000000
2000-03-29,3.75,3.75,3.5,3.5,8088000000
2000-03-30,3.5,3.5,3.5,3.5,6208000000
2000-03-31,3.5,3.5,3.5,3.5,17560000000
2000-04-03,3.5,3.5,3.5,3.5,3156000000
2000-04-04,3.5,3.5,3.25,3.25,4448000000
2000-04-05,3.25,3.25,3.25,3.25,4296000000
2000-04-06,3.25,3.5,3.25,3.25,2576000000
2000-04-07,3.25,3.5,3.25,3.25,4376000000
2000-04-10,3.5,3.5,3.25,3.25,1340000000
2000-04-11,3.25,3.5,3.25,3.25,2208000000
2000-04-12,3.5,3.5,3.25,3.25,3596000000
2000-04-13,3.25,3.25,3.0,3.0,8184000000
2000-04-14,3.0,3.0,2.75,2.75,7848000000
2000-04-17,2.75,2.75,2.5,2.75,6604000000
2000-04-18,2.75,3.0,2.75,3.0,5568000000
2000-04-19,3.0,3.0,2.75,3.0,3480000000
2000-04-20,3.0,3.0,3.0,3.0,1096000000
2000-04-21,3.0,3.0,3.0,3.0,0
