date,open,high,low,close,volume
2006-02-08,2.9172163,2.9677411,2.85105285,2.9172163,17558250
2006-02-09,2.9737563,3.05315258,2.92563716,3.00743961,4583515
2006-02-10,3.06518259,3.10367755,2.95932029,3.00743961,2140193
2006-02-13,3.00743961,3.05194976,2.92924633,3.00743961,4464277
2006-02-14,2.99420652,3.12773657,2.98939452,3.12773657,2511632
2006-02-15,3.12533047,3.1770586,3.03149855,3.0555582,1072841
2006-02-16,3.05555961,3.12653473,3.03149994,3.09164858,832534
2006-02-17,3.09164727,3.11570692,3.04352831,3.11570692,291234
2006-02-20,3.11089542,3.11089542,3.03270197,3.0435288,162237
2006-02-21,3.04352808,3.07961738,3.03751325,3.0495429,1095713
2006-02-22,3.04232562,3.10969224,3.01946914,3.0435288,978304
2006-02-23,3.02428019,3.05555784,3.02428019,3.05435467,1466237
2006-02-24,3.06638528,3.06638528,2.98337982,3.03390479,268362
2006-02-27,3.03390479,3.03390479,3.03390479,3.03390479,0
2006-02-28,3.03390479,3.03390479,3.03390479,3.03390479,0
2006-03-01,3.03631078,3.15179672,3.03631078,3.06758809,884987
2006-03-02,3.06397914,3.12773658,3.06157279,3.09405327,3399974
2006-03-03,3.0796181,3.09164775,3.04352878,3.06758809,2132264
2006-03-06,3.05435406,3.05435406,3.01465594,3.01946759,812712
2006-03-07,3.01826636,3.01826636,2.85466162,2.89917159,400714
2006-03-08,2.87390997,2.87511297,2.81496416,2.84503865,705062
2006-03-09,2.85105302,2.86308267,2.77285938,2.79691887,657184
2006-03-10,2.78248301,2.89917179,2.6477501,2.86308265,1468676
2006-03-13,2.88714256,2.88834538,2.85105324,2.85105324,377232
2006-03-14,2.79090408,2.85706789,2.79090408,2.85105324,403764
2006-03-15,2.82699315,2.89435977,2.82699315,2.89315677,118628
2006-03-16,2.88714211,2.94729091,2.8510528,2.89917159,444628
2006-03-17,2.88714194,2.94488473,2.84022563,2.89315677,102160
2006-03-20,2.92202812,2.93165195,2.90759229,2.92323112,282695
2006-03-21,2.90759181,3.00142407,2.89917098,2.95931959,728849
2006-03-22,2.92443347,3.01225091,2.92443347,2.96052313,170471
2006-03-23,3.03871585,3.05435467,2.92323029,2.94728994,338503
2006-03-24,2.94728994,2.9954089,2.94728994,2.94728994,316851
2006-03-27,2.88834417,2.93526047,2.88714134,2.91240382,82338
2006-03-28,2.88593888,2.89917136,2.68263602,2.68263602,76849
2006-03-29,2.70669593,2.88714233,2.70669593,2.79691887,909689
2006-03-30,2.82699342,2.83782008,2.77165627,2.77165627,659318
2006-03-31,2.79691865,2.89917159,2.79691865,2.89917159,505620
2006-04-03,2.828197,2.96052464,2.828197,2.92924714,81423
2006-04-04,2.92323064,2.97736477,2.92323064,2.95931959,517818
2006-04-05,2.95931924,2.97134924,2.94127477,2.94728994,370828
2006-04-06,2.94729024,2.97134955,2.89917093,2.92202759,726409
2006-04-07,2.94729099,3.00743961,2.89917167,3.00743961,297028
2006-04-10,2.9593196,3.01946856,2.9593196,2.96052313,236647
2006-04-11,2.94729044,2.94849327,2.80533904,2.81496286,97281
2006-04-12,2.8618793,2.8630823,2.8089485,2.83300781,67395
2006-04-13,2.81496275,2.81496275,2.79090309,2.79090309,9453
2006-04-14,2.79090309,2.79090309,2.79090309,2.79090309,0
2006-04-17,2.76804692,2.80293305,2.71992779,2.73676944,93012
2006-04-18,2.81376062,2.81376062,2.70669602,2.73075533,104295
2006-04-19,2.74879976,2.77887442,2.59722519,2.59842801,1188115
2006-04-20,2.59963036,2.64774949,2.59963036,2.59963036,1200313
2006-04-21,2.59963036,2.59963036,2.59963036,2.59963036,0
2006-04-24,2.59842758,2.68263603,2.51662513,2.64534354,943844
2006-04-25,2.63451685,2.68143299,2.56233806,2.57557106,486407
2006-04-26,2.6104572,2.63451685,2.53226392,2.57557106,223839
2006-04-27,2.59602076,2.59842694,2.46730256,2.50218868,765139
2006-04-28,2.47813037,2.54429418,2.35783276,2.53467035,1769060
2006-05-01,2.53467035,2.53467035,2.53467035,2.53467035,0
2006-05-02,2.52384311,2.56113524,2.50218927,2.52624893,808748
2006-05-03,2.53827894,2.57436808,2.51421928,2.51421928,422061
2006-05-04,2.51421928,2.62248721,2.51421928,2.52624893,250675
2006-05-05,2.52624929,2.56233843,2.52624929,2.53948212,382722
2006-05-08,2.56113577,2.5623386,2.53827946,2.55030894,1302779
2006-05-09,2.55391777,2.5623386,2.52624946,2.55030894,11850120
2006-05-10,2.53226428,2.58639808,2.53226428,2.55632377,3025181
2006-05-11,2.56233842,2.56233842,2.52624928,2.55632377,18322087
2006-05-12,2.53827946,2.55030894,2.47813031,2.55030894,6403699
2006-05-15,2.53466898,2.53466898,2.40595061,2.52384233,8419707
2006-05-16,2.46489686,2.55030794,2.43001056,2.43001056,29447033
2006-05-17,2.4901598,2.51421928,2.45407049,2.51421928,29266473
2006-05-18,2.49136314,2.56113577,2.46610065,2.55030894,359850
2006-05-19,2.56113577,2.58639826,2.52624946,2.55030894,467500
2006-05-22,2.50339228,2.52624893,2.417981,2.52624893,785876
2006-05-23,2.52624893,2.52624893,2.46610014,2.52624893,27974169
2006-05-24,2.45166457,2.46610041,2.34580298,2.44685292,27307376
2006-05-25,2.35422289,2.37587619,2.26520247,2.34580207,16536983
2006-05-26,2.30971318,2.38309445,2.26159405,2.32775784,13778331
2006-05-29,2.26760952,2.30971366,2.26760952,2.30730748,262873
2006-05-30,2.26881252,2.30730748,2.16655958,2.30730748,6641258
2006-05-31,2.27362378,2.27362378,2.21347499,2.21347499,4381694
2006-06-01,2.22550487,2.31572779,2.22550487,2.23753452,3985645
2006-06-02,2.33377146,2.34580146,2.26159305,2.30008817,6461336
2006-06-05,2.28565407,2.29166872,2.16776248,2.28565407,4243512
2006-06-06,2.17738622,2.20144588,2.14129708,2.17137122,2490910
2006-06-07,2.17738599,2.17738599,2.08114807,2.15332651,5471769
2006-06-08,2.04505813,2.08716226,1.93197857,2.08716226,6652236
2006-06-09,2.09317788,2.09317788,1.96686528,2.03302908,3094751
2006-06-12,1.98130089,2.02099885,1.87664179,1.97769189,8339677
2006-06-13,1.83213133,1.88867128,1.70942796,1.88867128,5068493
2006-06-14,1.7563442,1.7563442,1.62401716,1.73228455,20860412
2006-06-15,1.73228455,1.73228455,1.73228455,1.73228455,0
2006-06-16,1.79243341,1.80446341,1.62281387,1.68416584,16920763
2006-06-19,1.82732022,1.91273149,1.76837443,1.79844856,1391958
2006-06-20,1.91273135,1.98490961,1.87664169,1.89829552,17343782
2006-06-21,1.92355801,1.92476083,1.88145387,1.88145387,64223557
2006-06-22,1.89468634,1.91273099,1.88987434,1.89468634,18065873
2006-06-23,1.8766414,1.90070105,1.86581474,1.90070105,2174013
2006-06-26,1.88265657,1.94882035,1.88265657,1.94882035,593752
2006-06-27,1.94882035,1.96085,1.93679035,1.94882035,109479
2006-06-28,1.94882035,1.98490948,1.94882035,1.94882035,2362898
2006-06-29,1.98490972,2.04505851,1.94882058,1.97769189,5836639
2006-06-30,2.09317738,2.20024229,2.04505825,2.04505825,6019845
2006-07-03,2.17738557,2.23272235,2.14129644,2.16535592,7306730
2006-07-04,2.21227211,2.21227211,2.10520719,2.18941545,1873184
2006-07-05,2.16535592,2.16535592,2.09317731,2.16535592,1955889
2006-07-06,2.14370275,2.22430185,2.14370275,2.14370275,1985818
2006-07-07,2.22550535,2.24836166,2.11723741,2.22189617,4945442
2006-07-10,2.17738652,2.20144618,2.1425002,2.17738652,433040
2006-07-11,2.17738652,2.17738652,2.12926737,2.17738652,7357472
2006-07-12,2.13167297,2.1352818,2.10520732,2.1304698,5224927
2006-07-13,2.09317779,2.10520744,2.033029,2.10520744,6958524
2006-07-14,2.04626167,2.10280164,2.02099918,2.0739305,632485
2006-07-17,2.04505851,2.08114799,1.96085023,1.97769189,240611
2006-07-18,2.08114773,2.08114773,1.96084999,1.97889447,4006694
2006-07-19,1.927167,2.03302911,1.92235534,1.93679082,4392810
2006-07-20,1.98731554,1.98731554,1.96566224,1.97769189,196697
2006-07-21,1.97769189,1.97769189,1.92716675,1.97769189,1071768
2006-07-24,1.97889495,2.02099909,1.96085047,1.97047412,5265819
2006-07-25,2.0318265,2.04505898,2.01498467,2.01618767,255249
2006-07-26,1.98972118,2.0342313,1.97287953,1.97648835,160102
2006-07-27,1.99934512,2.06911755,1.99693929,2.06911755,18602
2006-07-28,2.04505807,2.10520685,2.04505807,2.06911755,7898565
2006-07-31,2.04505813,2.09317726,2.04505813,2.08716226,1203217
2006-08-01,2.09317756,2.09317756,2.04505842,2.09317756,2008705
2006-08-02,2.05708807,2.10520685,2.04505807,2.06911755,18115777
2006-08-03,2.09317779,2.12926693,2.08114814,2.10520744,952654
2006-08-04,2.09317755,2.12806386,2.04505842,2.11122203,170700
2006-08-07,2.12926698,2.23633192,2.12806416,2.12806416,1896126
2006-08-08,2.24836183,2.40595176,2.23633218,2.23633218,5327225
2006-08-09,2.40595145,2.50218938,2.28565403,2.38309479,9918474
2006-08-10,2.28565341,2.33978719,2.28565341,2.32174253,3295868
2006-08-11,2.28565359,2.30971307,2.26881194,2.26881194,285440
2006-08-14,2.27362359,2.28565359,2.26881194,2.26881194,1932968
2006-08-15,2.32174321,2.33136703,2.28565407,2.28565407,19013389
2006-08-16,2.3217429,2.33256955,2.2279108,2.29166842,6242882
2006-08-17,2.24234687,2.28565401,2.24234687,2.26279736,22764035
2006-08-18,2.27723289,2.39392163,2.26760906,2.27723289,13339226
2006-08-21,2.30008817,2.31572681,2.24354858,2.30008817,434144
2006-08-22,2.26760941,2.29166872,2.2279111,2.28565407,12947367
2006-08-23,2.22670841,2.28445121,2.22670841,2.22791123,13700991
2006-08-24,2.27242035,2.28565317,2.2146774,2.2543757,6029994
2006-08-25,2.28565443,2.30971392,2.26159477,2.26159477,3338613
2006-08-28,2.27001529,2.37828323,2.26760946,2.3097136,1618950
2006-08-29,2.30971277,2.41316867,2.30971277,2.34580207,5659483
2006-08-30,2.34580212,2.42399538,2.34580212,2.38189125,1998098
2006-08-31,2.40715569,2.41798235,2.40595269,2.40595269,30190
2006-09-01,2.40595269,2.44805703,2.34580404,2.40595269,4150975
2006-09-04,2.36986226,2.46610019,2.34700561,2.34700561,2485531
2006-09-05,2.46489662,2.46489662,2.41798032,2.44203997,842695
2006-09-06,2.40715384,2.42399549,2.38429719,2.42399549,5452526
2006-09-07,2.42399549,2.42399549,2.42399549,2.42399549,0
2006-09-08,2.41798235,2.41798235,2.38429902,2.40595269,143635
2006-09-11,2.45407101,2.45407101,2.3891102,2.40835786,159492
2006-09-12,2.40595073,2.40595073,2.34580212,2.38189125,225668
2006-09-13,2.35783353,2.40715569,2.35783353,2.40595269,360460
2006-09-14,2.39512408,2.39512408,2.38189125,2.38189125,10978
2006-09-15,2.38189125,2.40595073,2.38189125,2.38189125,20432
2006-09-18,2.4059515,2.41677833,2.39392202,2.41677833,242136
2006-09-19,2.44083757,2.44083757,2.38910961,2.38910961,147904
2006-09-20,2.44204202,2.44204202,2.39392321,2.40595269,191513
2006-09-21,2.44204202,2.44204202,2.39392321,2.40595269,192123
2006-09-22,2.3939222,2.40595168,2.3939222,2.40354586,482443
2006-09-25,2.37587678,2.40474844,2.35181765,2.39993644,18907
2006-09-26,2.37587678,2.40474844,2.35181765,2.39993644,19822
2006-09-27,2.40595079,2.40595079,2.36986166,2.38790631,172911
2006-09-28,2.40595067,2.46008444,2.40595067,2.44203997,73799
2006-09-29,2.45407081,2.45407081,2.43843215,2.44805598,47268
2006-10-02,2.41316991,2.46489788,2.41316991,2.43241739,272022
2006-10-03,2.43241638,2.45407003,2.43001056,2.43001056,193038
2006-10-04,2.43001003,2.4901588,2.43001003,2.4901588,514768
2006-10-05,2.52504533,2.52504533,2.4540699,2.50218868,656269
2006-10-06,2.52504723,2.52504723,2.4600864,2.46610141,247930
2006-10-09,2.50218868,2.52504533,2.47812921,2.50218868,186329
2006-10-10,2.50218935,2.50218935,2.47812986,2.47812986,137231
2006-10-11,2.47572327,2.47812909,2.44203997,2.44203997,206456
2006-10-12,2.44203997,2.44203997,2.44203997,2.44203997,0
2006-10-13,2.44805539,2.46489704,2.43001073,2.46128821,248235
2006-10-16,2.47812984,2.57917977,2.47692684,2.56233811,68005
