date,open,high,low,close,volume
2009-11-03,4.6396451,4.6396451,4.6396451,4.6396451,0
2009-11-04,4.6396451,4.6396451,4.6396451,4.6396451,0
2009-11-05,4.66216898,4.66216898,4.66216898,4.66216898,0
2009-11-06,5.51155663,5.51155663,5.51155663,5.51155663,3666
2009-11-09,4.69503069,4.69503069,4.69503069,4.69503069,6355
2009-11-10,4.79709578,4.79709578,4.79709578,4.79709578,4888
2009-11-11,4.79709578,4.79709578,4.79709578,4.79709578,3666
2009-11-12,4.79709578,4.79709578,4.79709578,4.79709578,6110
2009-11-13,4.79709515,4.81750822,4.79709515,4.81750822,4155
2009-11-16,4.79709578,4.79709578,4.79709578,4.79709578,5988
2009-11-17,4.80117801,4.80934334,4.80117801,4.80934334,3666
2009-11-18,4.80117692,4.80117692,4.77668142,4.77668142,6233
2009-11-19,4.73585685,4.73585685,4.69503069,4.69503069,7455
2009-11-23,4.69094753,4.69094753,4.69094753,4.69094753,4766
2009-11-24,4.67461649,4.67461649,4.65420341,4.65420341,6722
2009-11-25,4.67461713,4.71136087,4.67461713,4.69503069,5377
2009-11-26,4.67461649,4.67461649,4.65420341,4.65420341,4888
2009-11-27,4.61337741,4.61337741,4.57255077,4.57255077,8555
2009-11-30,4.57254999,4.67461585,4.28676597,4.61337662,12588
2009-12-01,4.48681574,4.57255048,4.48681574,4.49906301,11121
2009-12-02,4.51947645,4.56030308,4.51947645,4.52764177,9044
2009-12-03,4.53172508,4.81750966,4.51947685,4.69503069,13933
2009-12-04,4.67461556,4.71544218,4.53172356,4.71544218,4522
2009-12-07,4.6950294,4.6950294,4.53172384,4.61337662,2566
2009-12-08,4.53988962,4.55213737,4.5317243,4.55213737,10144
2009-12-09,4.54397221,4.5929637,4.54397221,4.5929637,3299
2009-12-10,4.59296321,4.59296321,4.53172398,4.53172398,13444
2009-12-11,4.53172461,4.59296385,4.53172461,4.57255077,3544
2009-12-14,4.55213709,4.55213709,4.53988934,4.53988934,2444
2009-12-15,4.53172461,4.53172461,4.51131105,4.51131105,3544
2009-12-16,4.53172398,4.53172398,4.52355865,4.53172398,6966
2009-12-17,4.52355928,4.52355928,4.51131105,4.51131105,5744
2009-12-18,4.49089759,4.57254989,4.1479563,4.24593925,50354
2009-12-21,4.49089745,4.49089745,4.3275919,4.3275919,6110
2009-12-22,4.32759301,4.32759301,4.30717993,4.30717993,7333
2009-12-23,4.30717901,4.42965841,4.30717901,4.42965841,3911
2009-12-24,4.42965841,4.42965841,4.42965841,4.42965841,0
2009-12-28,4.40924428,4.42149251,4.40516186,4.40516186,2811
2009-12-29,4.40516186,4.40516186,4.40516186,4.40516186,0
2009-12-30,4.26226991,4.26226991,4.15203873,4.24593925,8310
