date,open,high,low,close,volume
2008-04-07,9.1110157,9.1110157,8.85651808,8.85651808,0
2008-04-08,1.76921048,1.84038532,1.76921048,1.8302178,887987
2008-04-09,1.8302178,1.8302178,1.779378,1.8302178,806529
2008-04-10,1.83021769,1.87495589,1.8108984,1.87495589,847258
2008-04-11,1.87495585,1.91054351,1.8658047,1.88105683,1309857
2008-04-14,1.88105699,1.88105699,1.76921049,1.78954601,675292
2008-04-15,1.82004953,1.8607212,1.80581437,1.80988152,325327
2008-04-16,1.85970413,1.8658045,1.82920048,1.84953613,519417
2008-04-17,1.85055313,2.00307129,1.84750295,2.00307129,859326
2008-04-18,1.94206398,1.95019829,1.89224116,1.93189597,965422
2008-04-22,1.92841106,1.92841106,1.77034474,1.82048976,1098168
2008-04-23,1.85319357,1.85319357,1.77688539,1.77688539,1535122
2008-04-24,1.7986876,1.83575137,1.74963224,1.74963224,136768
2008-04-25,1.77143383,1.77688447,1.73328028,1.74418104,1095151
2008-04-28,1.76053352,1.79323696,1.73546068,1.74963224,508355
2008-04-29,1.74527157,1.77252424,1.73982093,1.77252424,1315388
2008-04-30,1.77252444,1.89679778,1.74091131,1.89679778,1612557
2008-05-02,1.88589588,1.90115761,1.82048902,1.88044524,1145433
2008-05-05,1.89243625,1.9622041,1.87390437,1.9622041,1206275
2008-05-06,1.94040213,1.94040213,1.89788759,1.91859996,796473
2008-05-07,1.94040212,1.94040212,1.84774256,1.84774256,1783014
2008-05-08,1.88480659,1.88480659,1.85319345,1.86409473,286106
2008-05-09,1.85319287,1.85864351,1.83902132,1.84229159,339406
2008-05-12,1.86409441,1.86409441,1.84229185,1.85864377,212191
2008-05-13,1.86409441,1.86409441,1.84229185,1.85864377,212191
2008-05-14,1.89461731,1.89570762,1.83357088,1.86845481,1521545
2008-05-15,1.88480631,1.91314929,1.85319317,1.90006804,1299800
2008-05-16,1.89679778,1.91532966,1.87063476,1.89679778,1194710
2008-05-19,1.89679769,1.94040189,1.86191376,1.8946172,364547
2008-05-20,1.88589645,1.88589645,1.81503893,1.84120142,687360
2008-05-21,1.84774257,1.86409449,1.80631834,1.82048976,952851
2008-05-23,1.79868757,1.86409432,1.74418144,1.78233552,880445
2008-05-26,1.79105622,1.79323671,1.76598391,1.77470469,366558
2008-05-27,1.77470509,1.78233569,1.73328085,1.74527192,281078
2008-05-28,1.74745242,1.78233571,1.73437065,1.77143443,2266228
2008-05-29,1.74745242,1.78233571,1.73437065,1.77143443,2266228
2008-05-30,1.77252448,1.8531931,1.7714343,1.81939948,1103699
2008-06-02,1.77252448,1.8531931,1.7714343,1.81939948,1103699
2008-06-03,1.81939929,1.8270299,1.78778603,1.80958819,496790
2008-06-04,1.8150386,1.8422914,1.76925392,1.83684063,613445
2008-06-05,1.7877858,1.83684063,1.7877858,1.83684063,542044
2008-06-06,1.84120187,1.85319346,1.81721986,1.84011221,510869
2008-06-09,1.83139101,1.86954444,1.79868757,1.85319304,1224376
2008-06-10,1.84120109,1.85210249,1.80631782,1.83684063,405276
2008-06-11,1.836841,1.836841,1.79868758,1.79868758,503829
2008-06-12,1.80304744,1.83139054,1.79868711,1.82593977,866868
2008-06-13,1.82048976,1.8357515,1.81067867,1.82048976,209677
2008-06-16,1.82048976,1.8259404,1.80958849,1.82048976,227779
2008-06-17,1.79868744,1.81503883,1.78778603,1.80958819,859829
2008-06-18,1.82048993,1.82048993,1.76053381,1.76053381,1164037
2008-06-19,1.77143421,1.77143421,1.73873077,1.74309123,404270
2008-06-20,1.74309123,1.77579467,1.73110016,1.74309123,2050014
2008-06-23,1.74309099,1.74963194,1.72346932,1.73328042,426394
2008-06-24,1.7332807,1.7332807,1.6787747,1.70057726,606405
2008-06-25,1.70057741,1.70057741,1.63517065,1.67114425,1427517
2008-06-26,1.65697233,1.68967577,1.63625996,1.66787374,301694
2008-06-27,1.65697254,1.71147814,1.64607126,1.70057726,871897
2008-06-30,1.7005776,1.74309163,1.7005776,1.72783041,343931
2008-07-01,1.70602743,1.73873087,1.61336787,1.64607131,1399862
2008-07-02,1.65697244,1.65697244,1.59701633,1.59701633,323315
2008-07-03,1.59701641,1.62971985,1.5806645,1.62971985,127214
2008-07-04,1.63407994,1.63407994,1.59592587,1.61336744,134254
2008-07-07,1.61336787,1.667874,1.61227769,1.64607131,501315
2008-07-08,1.63517014,1.7866956,1.63517014,1.7866956,381643
2008-07-10,1.7441816,1.83139117,1.7441816,1.82048976,2218963
2008-07-11,1.81721918,1.81721918,1.77470464,1.78778589,741162
2008-07-14,1.78778616,1.85428322,1.75508285,1.85319304,2138511
2008-07-15,1.80958772,1.83030009,1.76598354,1.83030009,1599483
2008-07-16,1.83030048,1.87390467,1.79977701,1.85210264,412315
2008-07-17,1.85210269,1.85210269,1.80958816,1.84229159,737140
2008-07-18,1.83684086,1.83684086,1.7725243,1.80958819,230796
