date,open,high,low,close,volume
2000-01-03,2.55882353,2.58794125,2.52941176,2.55882353,510000
2000-01-04,2.54411765,2.54411765,2.47058824,2.47058824,646000
2000-01-05,2.42647059,2.43529412,2.40558831,2.43529412,6358000
2000-01-06,2.42911772,2.46176471,2.42882349,2.46176471,9180000
2000-01-07,2.47058824,2.48529412,2.47029419,2.47058824,5814000
2000-01-10,2.48529412,2.64705882,2.48529412,2.58529412,17714000
2000-01-11,2.61764706,2.62941176,2.60294118,2.61176471,5576000
2000-01-12,2.60323522,2.64676478,2.60294118,2.64676478,7310000
2000-01-13,2.71294125,2.79411765,2.64705882,2.73529412,5134000
2000-01-14,2.79411765,2.79411765,2.64647055,2.64647055,3502000
2000-01-17,2.73529412,2.73529412,2.58823529,2.70588235,5984000
2000-01-18,2.76764706,2.76764706,2.70588235,2.74117647,2346000
2000-01-19,2.76470588,2.79411765,2.72058824,2.73529412,10370000
2000-01-20,2.73529412,2.79411765,2.73529412,2.75,1054000
2000-01-21,2.79411765,2.79411765,2.73529412,2.76441184,5474000
2000-01-24,2.76470588,2.79411765,2.73529412,2.73529412,3842000
2000-01-25,2.73529412,2.73529412,2.73529412,2.73529412,0
2000-01-26,2.70588235,2.72058824,2.64705882,2.64705882,578000
2000-01-27,2.64705882,2.66176471,2.64676478,2.64705882,1734000
2000-01-28,2.64705882,2.64705882,2.55882353,2.55882353,102000
2000-01-31,2.5,2.55911758,2.44117647,2.55882353,1156000
2000-02-01,2.55882353,2.55882353,2.47058824,2.52941176,2414000
2000-02-02,2.52941176,2.52941176,2.5,2.5,782000
2000-02-03,2.55588235,2.55588235,2.51470588,2.51470588,3706000
2000-02-04,2.52941176,2.56764706,2.52941176,2.55882353,5882000
2000-02-07,2.54411765,2.56764706,2.54411765,2.55882353,3128000
2000-02-08,2.56764706,2.57941176,2.5,2.51470588,13634000
2000-02-09,2.52941176,2.55882353,2.51470588,2.51470588,7004000
2000-02-10,2.5,2.5,2.46470588,2.46470588,9622000
2000-02-11,2.47058824,2.47058824,2.40588235,2.42058824,6290000
2000-02-14,2.41176471,2.41176471,2.41176471,2.41176471,442000
2000-02-15,2.38235294,2.40882353,2.38176467,2.38176467,1836000
2000-02-16,2.36764706,2.42647059,2.36470588,2.39705882,17816000
2000-02-17,2.41176471,2.54411765,2.41176471,2.51470588,11152000
2000-02-18,2.52941176,2.52941176,2.47058824,2.52941176,6562000
2000-02-21,2.5,2.55882353,2.5,2.55882353,3128000
2000-02-22,2.56911765,2.58823529,2.56911765,2.58235294,340000
2000-02-23,2.55882353,2.57323537,2.52941176,2.55852948,3740000
2000-02-24,2.52941176,2.52941176,2.5,2.52941176,10268000
2000-02-25,2.64705882,2.64705882,2.51470588,2.52941176,8432000
2000-02-28,2.5,2.5,2.45588235,2.45588235,3808000
2000-02-29,2.48529412,2.48529412,2.47029419,2.47058824,1802000
2000-03-01,2.47029419,2.47058824,2.41176471,2.41176471,850000
2000-03-02,2.43823529,2.43823529,2.41176471,2.41176471,4386000
2000-03-03,2.39705882,2.39705882,2.38235294,2.39705882,4658000
2000-03-06,2.39705882,2.39705882,2.39705882,2.39705882,0
2000-03-07,2.39705882,2.39705882,2.39705882,2.39705882,0
2000-03-08,2.38235294,2.38235294,2.36735301,2.36735301,5236000
2000-03-09,2.36764706,2.36764706,2.36764706,2.36764706,68000
2000-03-10,2.36470588,2.36470588,2.29411765,2.35264713,102000
2000-03-13,2.29411765,2.29411765,2.23529412,2.23529412,1530000
2000-03-14,2.26764706,2.27941176,2.23529412,2.26470588,1292000
2000-03-15,2.24970595,2.3,2.23529412,2.3,1870000
2000-03-16,2.35,2.35,2.32058824,2.32352941,578000
2000-03-17,2.30882353,2.30882353,2.30882353,2.30882353,782000
2000-03-20,2.32352941,2.32352941,2.31205875,2.31205875,170000
2000-03-21,2.30911758,2.35294118,2.30882353,2.35294118,816000
2000-03-22,2.29411765,2.5,2.29411765,2.5,4386000
2000-03-23,2.49970595,2.51470588,2.48529412,2.51470588,2720000
2000-03-24,2.5,2.51176471,2.41176471,2.51176471,1054000
2000-03-27,2.52941176,2.52941176,2.5,2.5,102000
2000-03-28,2.48529412,2.48529412,2.35294118,2.35294118,646000
2000-03-29,2.48529412,2.48529412,2.35264713,2.35294118,4896000
2000-03-30,2.35294118,2.35294118,2.35294118,2.35294118,272000
2000-03-31,2.35294118,2.47058824,2.32352941,2.35294118,714000
2000-04-03,2.35294118,2.35294118,2.23529412,2.25,11390000
2000-04-04,2.26470588,2.32352941,2.23529412,2.32352941,5610000
2000-04-05,2.42647059,2.42647059,2.41176471,2.41176471,408000
2000-04-06,2.41176471,2.42647059,2.41176471,2.41176471,306000
2000-04-07,2.44088242,2.45588235,2.41176471,2.41176471,4454000
2000-04-10,2.38235294,2.38235294,2.35294118,2.35294118,2244000
2000-04-11,2.35294118,2.35294118,2.29411765,2.29411765,238000
2000-04-12,2.29411765,2.5,2.29411765,2.29705882,204000
2000-04-13,2.35294118,2.41176471,2.33823529,2.35294118,8500000
2000-04-14,2.30441176,2.30441176,2.30441176,2.30441176,34000
2000-04-17,2.27941176,2.27941176,2.26470588,2.26470588,1394000
2000-04-18,2.32352941,2.47058824,2.30882353,2.33823529,3842000
2000-04-19,2.35294118,2.35294118,2.19117647,2.35294118,2822000
2000-04-20,2.32352941,2.32352941,2.26470588,2.32352941,442000
2000-04-21,2.32352941,2.32352941,2.32352941,2.32352941,0
2000-04-24,2.32352941,2.32352941,2.32352941,2.32352941,3842000
2000-04-25,2.38235294,2.38235294,2.37941176,2.37941176,4862000
2000-04-26,2.38235294,2.52941176,2.38235294,2.52941176,476000
2000-04-27,2.38235294,2.47058824,2.38235294,2.44117647,1870000
