date,open,high,low,close,volume
2000-12-21,2.4849999,2.63771892,2.48470807,2.6130209,84096
2000-12-22,2.58671498,2.58671498,2.48441601,2.49975991,26412
2000-12-25,2.49975991,2.49975991,2.49975991,2.49975991,0
2000-12-26,2.48602295,2.50195289,2.4624939,2.49903011,8895
2000-12-27,2.54287195,2.58379197,2.49903011,2.58379197,30586
2000-12-28,2.5691781,2.76208591,2.52811193,2.70362902,87722
2000-12-29,2.70362902,2.70362902,2.70362902,2.70362902,0
2001-01-01,2.70362902,2.70362902,2.70362902,2.70362902,0
2001-01-02,2.56493998,2.63041091,2.56479406,2.61594296,53263221
2001-01-03,2.61594296,2.77670002,2.60132909,2.71838903,75980834
2001-01-04,2.73271108,2.77670002,2.73271108,2.76208591,93799106
2001-01-05,2.68901396,2.84977102,2.68901396,2.77655411,92416889
2001-01-08,2.74747109,2.77670002,2.71824288,2.71824288,36334494
2001-01-09,2.74747109,2.80592799,2.71824288,2.72993398,137167849
2001-01-10,2.73139596,2.76208591,2.71809697,2.75477791,124864756
2001-01-11,2.77509189,2.77670002,2.70362902,2.76208591,69781389
2001-01-12,2.76208591,2.76208591,2.68901396,2.71853495,56410842
2001-01-15,2.68901396,2.74747109,2.68901396,2.74747109,9018618
2001-01-16,2.74747109,2.77670002,2.73285699,2.76208591,29615008
2001-01-17,2.76208591,2.80592799,2.74016404,2.78400707,60023764
2001-01-18,2.78400707,2.87899899,2.78400707,2.87899899,160501300
2001-01-19,2.87885308,2.98129892,2.86438489,2.93745589,127492336
2001-01-22,2.93745589,2.93745589,2.81615806,2.83515692,44942553
2001-01-23,2.83515692,2.86438489,2.80899692,2.80899692,107840232
2001-01-24,2.84977102,2.84977102,2.73125005,2.73125005,81783404
2001-01-25,2.73125005,2.73125005,2.73125005,2.73125005,0
2001-01-26,2.73285699,2.83515692,2.73271108,2.80592799,118993759
2001-01-29,2.8205421,2.8205421,2.75477791,2.76208591,88434464
2001-01-30,2.79131389,2.79131389,2.71824288,2.71824288,169998904
2001-01-31,2.73285699,2.74016404,2.68901396,2.72554994,121019185
2001-02-01,2.75770092,2.75770092,2.6599319,2.67440009,66579026
2001-02-02,2.67440009,2.68901396,2.63786507,2.68901396,38332549
2001-02-05,2.67440009,2.67440009,2.61594296,2.62325096,13548455
2001-02-06,2.64517212,2.65247893,2.63055801,2.65247893,40836961
2001-02-07,2.64502597,2.64502597,2.58671498,2.60132909,69617165
2001-02-08,2.62909603,2.71093607,2.62909603,2.67410803,61337553
2001-02-09,2.68901396,2.68901396,2.63055801,2.63055801,41493856
2001-02-12,2.63085008,2.64590311,2.63055801,2.63786507,42588680
2001-02-13,2.65978599,2.67440009,2.65978599,2.67440009,144133671
2001-02-14,2.65978599,2.74747109,2.63055801,2.71093607,104350479
2001-02-15,2.71824288,2.73285699,2.71093607,2.71093607,39057871
2001-02-16,2.71824288,2.71824288,2.54141092,2.57283092,68577082
2001-02-19,2.63055801,2.63055801,2.55748701,2.55748701,51771522
2001-02-20,2.56493998,2.59402204,2.44057298,2.51364398,76582987
2001-02-21,2.55748701,2.60132909,2.46965504,2.48470807,121279205
2001-02-22,2.49903011,2.550179,2.49903011,2.550179,155369309
2001-02-23,2.55733991,2.70362902,2.54287195,2.601475,148403487
2001-02-26,2.601475,2.601475,2.601475,2.601475,0
2001-02-27,2.601475,2.601475,2.601475,2.601475,0
2001-02-28,2.59402204,2.59402204,2.48587704,2.49172306,87695458
2001-03-01,2.51364398,2.60132909,2.50633693,2.56493998,123400428
2001-03-02,2.60132909,2.64517212,2.54287195,2.64502597,159064343
2001-03-05,2.63055801,2.67440009,2.58671498,2.61594296,96549853
2001-03-06,2.63055801,2.7211659,2.61594296,2.65978599,82207649
2001-03-07,2.67074704,2.70362902,2.65247893,2.68170691,79552699
2001-03-08,2.68901396,2.73285699,2.64517212,2.68901396,98876355
2001-03-09,2.63055801,2.64531803,2.62325096,2.63055801,95277119
