date,open,high,low,close,volume
2014-01-23,6.26295703,6.26295703,6.26295703,6.26295703,19442
2014-01-24,6.26295703,6.26295703,6.26295703,6.26295703,0
2014-01-27,6.26295703,6.26295703,6.26295703,6.26295703,0
2014-01-28,6.76424715,6.76424715,6.61279277,6.71198456,96101
2014-01-29,6.53813499,6.59146383,6.53600197,6.586131,73326
2014-01-30,6.5360034,6.64586092,6.50613944,6.50613944,193314
2014-01-31,6.50613639,6.6202599,6.45280756,6.61279405,204424
2014-02-03,6.45280848,6.45280848,6.31415271,6.39947908,51661
2014-02-04,6.29388711,6.29388711,6.07843764,6.18616266,354964
2014-02-05,6.15522991,6.23949002,5.91951653,6.04750548,1422635
2014-02-06,6.21602717,6.39947855,5.98777845,6.18616266,1375418
2014-02-07,6.29281967,6.39307826,5.86618739,6.29281967,1885922
2014-02-10,6.2320244,6.39947785,6.07950433,6.35574789,982679
2014-02-11,6.45280848,6.50613731,6.25655727,6.39947908,1246542
2014-02-12,6.5050702,6.5050702,6.31095313,6.5050702,2135897
2014-02-13,6.2949554,6.5381353,6.21282827,6.5381353,1488740
2014-02-14,6.53173336,6.66505571,6.40054459,6.66505571,926574
2014-02-17,6.61812803,6.72798494,6.52960186,6.67678912,901576
2014-02-18,6.56479693,6.6074601,6.42614121,6.55946411,1296537
2014-02-19,6.43147762,6.46027535,6.34295143,6.4528095,2190892
2014-02-20,6.4400088,6.49227142,6.33335113,6.46987332,1934251
2014-02-21,6.49227052,6.50613654,6.36854702,6.44214149,1626504
2014-02-24,6.48373903,6.48373903,6.26828952,6.32375251,1119888
2014-02-25,6.29708579,6.31415162,6.09123689,6.259756,2254219
2014-02-26,6.26722295,6.30348652,6.15629924,6.17549753,1429857
2014-02-27,6.16589715,6.2917531,6.11683436,6.28962008,1354864
2014-02-28,6.28962046,6.31948496,6.07630456,6.18509581,2127009
2014-03-05,6.14456549,6.14456549,6.00804334,6.09550214,1043784
2014-03-06,6.09550248,6.09550248,5.98564501,6.02510838,1463187
2014-03-07,6.00377651,6.03257422,5.86725436,5.89818509,1667611
2014-03-10,5.89818496,5.89818496,5.62727368,5.69553475,2187559
2014-03-11,5.65393789,5.70300011,5.54621346,5.65500411,1992023
2014-03-12,5.6102094,5.84485716,5.59314413,5.82779133,2327545
2014-03-13,5.8000593,5.85338812,5.65820433,5.75739613,2217000
2014-03-14,5.70833545,5.8128601,5.62727512,5.75953126,2639736
2014-03-17,5.73499812,5.79579335,5.6592712,5.69553475,1225988
2014-03-18,5.72219995,5.95044866,5.64327321,5.95044866,4365119
2014-03-19,5.871521,6.07310501,5.86085535,5.99737752,1728716
2014-03-20,5.87898781,6.08803711,5.87898781,6.0133764,1874257
2014-03-21,6.04152883,6.04152883,5.93500851,5.9608316,1397082
2014-03-24,5.95114784,6.06842822,5.88121009,5.95975611,1217100
2014-03-25,6.12222855,6.14912726,5.86399754,6.08994953,1282871
2014-03-26,6.10070739,6.12222692,5.8801352,6.04690942,3685520
2014-03-27,5.94469282,6.29438047,5.89627459,6.18140479,2424313
2014-03-28,6.23520276,6.28362099,6.06304881,6.18140479,1439411
2014-03-31,6.21368359,6.26748156,6.10070734,6.26210182,2250663
