date,open,high,low,close,volume
2007-07-27,5.28167182,5.466453,5.08149179,5.19807959,12103289
2007-07-30,5.32786739,5.38726117,5.19368068,5.25747395,1887407
2007-07-31,5.29047082,5.46645367,5.25967406,5.30366993,6567074
2007-08-01,5.2794722,5.38946076,5.24647475,5.38506126,2622449
2007-08-02,5.38946025,5.38946025,5.28387119,5.36746216,1934210
2007-08-03,5.32346721,5.37406263,5.13208679,5.2662735,862849
2007-08-06,5.25527331,5.38945968,5.13208567,5.32566643,1816303
2007-08-07,5.3586644,5.58744114,5.32566758,5.54344559,2361434
2007-08-08,5.54344493,5.78322037,5.52144684,5.71942711,2450839
2007-08-09,5.59624107,5.67763295,5.49945097,5.56544399,1137364
2007-08-10,5.3784646,5.71943042,5.3784646,5.61164093,519929
2007-08-13,5.67323335,5.6754331,5.41145913,5.43345785,1784201
2007-08-14,5.49945042,5.67543263,5.2134787,5.21787882,975055
2007-08-15,5.19148181,5.25747483,4.83951671,5.13208771,6807988
2007-08-16,4.99130187,4.99130187,4.18398233,4.72952795,5436009
2007-08-17,4.84391546,5.05949373,4.4061597,4.72732735,5552116
2007-08-20,4.8417156,4.98250155,4.66353334,4.79552031,268215
2007-08-21,4.88351037,4.91210737,4.80651802,4.83731508,1725398
2007-08-22,4.90550945,5.05949389,4.88351199,4.97150278,1291573
2007-08-23,5.02649802,5.22447834,5.02649802,5.22227859,721841
2007-08-24,5.08149143,5.36746216,5.05949303,5.36746216,1136764
2007-08-27,5.36746153,5.49944877,5.1738814,5.38945961,777344
2007-08-28,5.3080694,5.36746317,5.16948318,5.16948318,124807
2007-08-29,5.23327825,5.30147134,5.2134799,5.21567965,589533
2007-08-30,5.16948322,5.23547686,5.08149242,5.08149242,455425
2007-08-31,5.2090792,5.27727228,5.14968511,5.21787882,314417
2007-09-03,5.18268263,5.32126887,5.13868707,5.28167343,73504
2007-09-04,5.18268115,5.35646454,5.1386856,5.34546518,75904
2007-09-05,5.27727215,5.27727215,5.17608257,5.21347857,115206
2007-09-06,5.21347822,5.34546518,5.21347822,5.34546518,399622
2007-09-10,5.22007779,5.27947187,5.20247951,5.27947187,276315
2007-09-11,5.19148093,5.32346726,5.19148093,5.3014698,1911108
2007-09-12,5.19148225,5.32346862,5.19148225,5.28167343,1913509
2007-09-13,5.27947187,5.38946043,5.22447697,5.27947187,727241
2007-09-14,5.27947267,5.27947267,5.2354768,5.24647522,47102
2007-09-17,5.16948304,5.16948304,4.99570058,4.99790001,79504
2007-09-18,5.01549722,5.05949276,4.86151282,4.92750645,504928
2007-09-19,5.01549833,5.05949389,4.8615139,4.97150278,506428
2007-09-20,5.03749556,5.03749556,4.9099081,4.96930218,259814
2007-09-21,4.95390339,4.99349976,4.77352204,4.9495039,542130
2007-09-24,4.8747128,4.92750797,4.82191857,4.84171629,150608
2007-09-25,4.879112,4.88131237,4.75372458,4.75372458,208511
2007-09-26,4.87911151,4.88131188,4.7537241,4.7757225,213312
2007-09-27,4.79772044,4.83951625,4.75372458,4.75372458,634236
2007-09-28,4.8131186,4.83951619,4.75812464,4.76252413,371121
2007-10-01,5.03749604,5.27947219,5.0352963,5.26847315,296116
2007-10-02,5.14088427,5.38945961,5.13648478,5.38945961,480627
2007-10-03,5.1408852,5.38946058,5.13648571,5.29047012,481527
2007-10-04,5.31246917,5.45545455,5.23547649,5.25747395,641436
2007-10-05,5.32346678,5.32346678,5.12988663,5.12988663,195311
2007-10-08,5.32126797,5.47745247,5.20248041,5.47305298,351620
2007-10-09,5.32126728,5.47745176,5.20247974,5.38726091,353120
2007-10-10,5.4730534,5.57644337,5.32786825,5.53244781,624335
