date,open,high,low,close,volume
2004-11-22,1.42615066,1.42615066,1.33130125,1.36132574,49209600
2004-11-23,1.36542029,1.39135019,1.33403115,1.34767842,8686800
2004-11-24,1.35109008,1.37156113,1.310148,1.3367604,4364400
2004-11-25,1.34426623,1.34426623,1.28967689,1.30468869,3644400
2004-11-26,1.31083012,1.31083012,1.28967696,1.310148,1796400
2004-11-29,1.310148,1.31628926,1.29786538,1.310148,2019600
2004-11-30,1.31014785,1.31014785,1.27261746,1.27944124,9696000
2004-12-01,1.28967713,1.31765408,1.27261778,1.30673599,4986000
2004-12-02,1.30878297,1.310148,1.30332412,1.310148,3002400
2004-12-03,1.31083013,1.33744244,1.30741834,1.33403075,3237600
2004-12-06,1.31833657,1.34426647,1.31833657,1.33607805,2523600
2004-12-07,1.33334822,1.33334822,1.310148,1.310148,3438000
2004-12-08,1.29786538,1.32038347,1.29308865,1.310148,2992800
2004-12-09,1.31014817,1.3108303,1.3033243,1.30673599,3025200
2004-12-10,1.29650032,1.31014798,1.29650032,1.3033241,1308000
2004-12-13,1.3033244,1.32379554,1.3033244,1.31424248,1598400
2004-12-14,1.29035905,1.32106567,1.29035905,1.31833649,2466000
2004-12-15,1.30059458,1.32174814,1.30059458,1.32174814,1534800
2004-12-16,1.32311304,1.32379556,1.31355998,1.32379556,1286400
2004-12-17,1.32379512,1.32720682,1.28967682,1.29650021,1966800
2004-12-20,1.29650048,1.30332426,1.28762994,1.30059469,676800
2004-12-21,1.28421758,1.30264147,1.28353546,1.29650021,1395600
2004-12-22,1.29650095,1.29650095,1.28012411,1.28626537,580800
2004-12-23,1.279441,1.31355929,1.279441,1.31355929,772800
2004-12-24,1.31355929,1.31355929,1.31355929,1.31355929,0
2004-12-27,1.31424274,1.33061959,1.31014853,1.31901908,4896000
2004-12-28,1.32379568,1.35586684,1.32379568,1.34767842,778800
2004-12-29,1.34767821,1.39134997,1.34767821,1.38520861,1614000
2004-12-30,1.38111386,1.39885533,1.38111386,1.39885533,1800000
2004-12-31,1.39885533,1.39885533,1.39885533,1.39885533,0
