date,open,high,low,close,volume
2000-01-03,1.52985799,1.54424095,1.50836396,1.51555598,13078
2000-01-04,1.47959805,1.47959805,1.41495502,1.42570198,12543
2000-01-05,1.407763,1.407763,1.36485696,1.38602698,34424
2000-01-06,1.38627005,1.39338005,1.35750401,1.37907803,15415
2000-01-07,1.40057194,1.40057194,1.39338005,1.398471,10445
2000-01-10,1.42214704,1.48678994,1.42214704,1.48678994,31651
2000-01-11,1.45091295,1.47959805,1.44008505,1.47959805,10187
2000-01-12,1.47959805,1.47959805,1.43652999,1.44727695,13920
2000-01-13,1.47959805,1.47959805,1.42933798,1.43652999,17929
2000-01-14,1.43652999,1.47232604,1.43652999,1.46521497,9346
2000-01-17,1.47959805,1.48678994,1.45802295,1.48678994,11682
2000-01-18,1.47604299,1.47604299,1.46521497,1.47240698,9326
2000-01-19,1.47240698,1.47240698,1.44008505,1.45091295,5148
2000-01-20,1.45091295,1.46521497,1.43652999,1.46521497,14276
2000-01-21,1.47959805,1.487517,1.47240698,1.47240698,16731
2000-01-24,1.47240698,1.47959805,1.44372106,1.44372106,23889
2000-01-25,1.44372106,1.44372106,1.44372106,1.44372106,0
2000-01-26,1.45802295,1.49389994,1.45446801,1.49389994,17345
2000-01-27,1.493981,1.493981,1.44008505,1.44372106,6870
2000-01-28,1.44372106,1.44372106,1.40792501,1.42214704,8405
2000-01-31,1.42214704,1.43652999,1.37907803,1.43652999,4871
2000-02-01,1.43652999,1.43652999,1.39338005,1.40057194,14731
2000-02-02,1.42246997,1.43660998,1.42214704,1.43652999,7464
2000-02-03,1.46521497,1.48678994,1.43652999,1.44372106,7663
2000-02-04,1.45802295,1.46384096,1.45446801,1.45802295,8237
2000-02-07,1.45802295,1.45802295,1.43644905,1.44372106,9999
2000-02-08,1.44873095,1.47959805,1.43652999,1.44873095,14801
2000-02-09,1.43636799,1.43636799,1.40057194,1.40057194,4079
2000-02-10,1.39346099,1.39346099,1.35750401,1.37188697,11702
2000-02-11,1.37907803,1.37907803,1.353948,1.35750401,8039
2000-02-14,1.353948,1.35750401,1.32873702,1.32873702,11712
2000-02-15,1.33592904,1.33592904,1.27847695,1.30724394,12217
2000-02-16,1.30724394,1.34311998,1.28566897,1.32162702,7494
2000-02-17,1.32736397,1.33237398,1.25730705,1.27920496,10296
2000-02-18,1.29286003,1.30005205,1.263448,1.263448,20830
2000-02-21,1.27128601,1.27128601,1.25762999,1.264094,17761
2000-02-22,1.28211403,1.28211403,1.24979198,1.264094,8851
2000-02-23,1.264094,1.264094,1.24979198,1.24987304,8940
2000-02-24,1.28211403,1.28211403,1.256984,1.26199305,8187
2000-02-25,1.28421402,1.28930497,1.27128601,1.28566897,5455
2000-02-28,1.264094,1.27128601,1.24259996,1.27128601,3029
