date,open,high,low,close,volume
2006-03-09,2.1904459,2.25682306,2.16057611,2.25682306,38459017
2006-03-10,2.24752998,2.45595407,2.24354696,2.32319999,12077951
2006-03-13,2.35638809,2.40617108,2.32319999,2.349751,3449982
2006-03-14,2.3364749,2.40484405,2.32983804,2.35638809,4530173
2006-03-15,2.35572505,2.39621496,2.32386398,2.38957691,3983298
2006-03-16,2.35638809,2.376302,2.299968,2.299968,1919335
2006-03-17,2.300632,2.38824892,2.24354696,2.3829391,4224345
2006-03-20,2.35572505,2.42342901,2.29731297,2.40351605,2677126
2006-03-21,2.38957691,2.46922994,2.36966395,2.44267893,6461560
2006-03-22,2.40949011,2.45595407,2.40949011,2.44931602,1813877
2006-03-23,2.44267893,2.45329905,2.35638809,2.44267893,765323
2006-03-24,2.44201493,2.44400597,2.35638809,2.42276597,2874483
2006-03-27,2.42210197,2.42276597,2.35638809,2.35638809,3064307
2006-03-28,2.35572505,2.35572505,2.1904459,2.32319999,10851625
2006-03-29,2.32319999,2.3829391,2.29664898,2.349751,5064995
2006-03-30,2.349751,2.38891292,2.32319999,2.38891292,1750602
2006-03-31,2.32983804,2.40285206,2.32983804,2.38957691,4260502
2006-04-03,2.38957691,2.48715091,2.37298298,2.45595407,3219481
2006-04-04,2.45595407,2.45595407,2.38957691,2.43604112,1101282
2006-04-05,2.40019703,2.44865298,2.38957691,2.43604112,3242079
2006-04-06,2.43537688,2.446661,2.40949011,2.44267893,195850
2006-04-07,2.44201493,2.44267893,2.41679192,2.43604112,280216
2006-04-10,2.40949011,2.46989298,2.40617108,2.46591091,1821409
2006-04-11,2.45595407,2.47188497,2.44267893,2.4592731,2469223
2006-04-12,2.43006706,2.48250508,2.40285206,2.45595407,5126764
2006-04-13,2.58870792,2.79115891,2.55552006,2.72146297,4156550
2006-04-14,2.72146297,2.72146297,2.72146297,2.72146297,0
2006-04-17,2.72212601,2.78783989,2.72013497,2.78783989,2818741
2006-04-18,2.78850389,2.82102799,2.76128888,2.78783989,1226325
2006-04-19,2.75531507,2.7845211,2.72146297,2.72146297,1764161
2006-04-20,2.66968894,2.72146297,2.62521601,2.68827391,816546
2006-04-21,2.68827391,2.68827391,2.68827391,2.68827391,0
2006-04-24,2.68827391,2.68827391,2.58870792,2.65176702,1411630
2006-04-25,2.60862207,2.65774107,2.60862207,2.65176702,272684
2006-04-26,2.64778399,2.66836095,2.58937192,2.66836095,3281249
2006-04-27,2.64778399,2.674999,2.598665,2.65508604,1491477
2006-04-28,2.674335,2.72146297,2.65508604,2.72146297,1203727
2006-05-01,2.72146297,2.72146297,2.72146297,2.72146297,0
2006-05-02,2.64180994,2.85488105,2.64180994,2.85488105,6229553
2006-05-03,2.80443406,2.80443406,2.68827391,2.77456403,495652
2006-05-04,2.76062489,2.78717589,2.73341107,2.75465107,787921
2006-05-05,2.74801397,2.78783989,2.69491196,2.74801397,634254
2006-05-08,2.72146297,2.73473811,2.70619607,2.70619607,338972
2006-05-09,2.68230009,2.77522802,2.65508604,2.70619607,35612555
2006-05-10,2.73473811,2.85421705,2.73473811,2.73872089,588682808
2006-05-11,2.84094191,2.85421705,2.73473811,2.82102799,148048609
2006-05-12,2.69690299,2.77390099,2.6617229,2.77390099,29475473
2006-05-15,2.6617229,2.72810006,2.62189698,2.72810006,50873409
2006-05-16,2.71482491,2.71482491,2.55552006,2.67831802,49968263
2006-05-17,2.68827391,2.68827391,2.58870792,2.67167997,167715904
2006-05-18,2.65375805,2.66836095,2.60994911,2.65508604,3362602
2006-05-19,2.58870792,2.6617229,2.58870792,2.62189698,1892217
2006-05-22,2.58605289,2.58605289,2.45595407,2.55220103,931043
2006-05-23,2.55618405,2.55618405,2.51303792,2.55220103,16650759
2006-05-24,2.45595407,2.51502991,2.32386398,2.51502991,77568754
2006-05-25,2.38957691,2.50905609,2.3829391,2.42276597,46283094
2006-05-26,2.45595407,2.50905609,2.43604112,2.43604112,110700622
2006-05-29,2.51502991,2.51502991,2.46922994,2.47586703,134082
2006-05-30,2.522331,2.522331,2.42276597,2.47586703,62167175
2006-05-31,2.47520304,2.57543302,2.45595407,2.45595407,146091038
2006-06-01,2.57543302,2.65442204,2.56879497,2.57543302,33024285
2006-06-02,2.55552006,2.56945896,2.522331,2.56879497,27699335
2006-06-05,2.45595407,2.522331,2.42276597,2.522331,34949782
2006-06-06,2.38957691,2.46922994,2.32319999,2.45595407,17625748
2006-06-07,2.40351605,2.46922994,2.38957691,2.46922994,1899780
2006-06-08,2.38957691,2.38957691,2.25682306,2.38957691,73626283
2006-06-09,2.32319999,2.35307002,2.2369101,2.32319999,6139477
2006-06-12,2.29001093,2.30660605,2.12672305,2.30660605,17114714
2006-06-13,2.15659308,2.15659308,2.02450299,2.12672305,36277935
2006-06-14,2.197083,2.197083,2.12406802,2.14066291,8901783
2006-06-15,2.14066291,2.14066291,2.14066291,2.14066291,0
2006-06-16,2.09751701,2.1625669,2.08424211,2.1625669,13439368
2006-06-19,2.15061903,2.15061903,1.98799503,2.08424211,47641860
2006-06-20,2.03379512,2.0570271,1.88179195,1.98799503,53550339
2006-06-21,1.92028999,1.92493701,1.86519694,1.898386,84329982
2006-06-22,1.89174795,1.92825603,1.82736194,1.89174795,11735709
2006-06-23,1.84528399,1.99065006,1.82537103,1.82736194,111919189
2006-06-26,1.92493701,2.11079311,1.92493701,1.99131405,693009
2006-06-27,1.96476305,2.01454592,1.89174795,1.99131405,18489750
2006-06-28,1.91763496,1.958125,1.88511097,1.92493701,2282411
2006-06-29,1.92493701,2.09087992,1.92493701,1.92493701,162983914
2006-06-30,2.12406802,2.1897819,2.0377779,2.0377779,46551862
2006-07-03,2.12406802,2.26080489,2.10415506,2.10415506,30063718
2006-07-04,2.25350404,2.33713889,2.23359108,2.23359108,4125832
2006-07-05,2.29001093,2.32253599,2.15725708,2.31589794,17624633
2006-07-06,2.32253599,2.33979392,2.29001093,2.32253599,22355343
2006-07-07,2.32319999,2.349751,2.29001093,2.32319999,31642785
2006-07-10,2.32253599,2.3829391,2.27009797,2.30992389,18172684
2006-07-11,2.32319999,2.33912992,2.25018501,2.33912992,16985980
2006-07-12,2.32253599,2.38559389,2.223634,2.32319999,41462023
2006-07-13,2.223634,2.28868389,2.223634,2.28868389,5018986
2006-07-14,2.20770407,2.25682306,2.20704007,2.25615907,3737445
2006-07-17,2.12406802,2.24288297,2.12406802,2.17717004,179278
2006-07-18,2.223634,2.24288297,2.14398098,2.1904459,5262804
2006-07-19,2.20903111,2.223634,2.1904459,2.20903111,94480266
2006-07-20,2.19110894,2.223634,2.1904459,2.22297001,189824
2006-07-21,2.19243693,2.22297001,2.12340498,2.22297001,110924193
2006-07-24,2.1897819,2.1904459,2.15725708,2.18380809,10697822
2006-07-25,2.18380809,2.18380809,2.16389489,2.17717004,983772
2006-07-26,2.15725708,2.17717004,2.12406802,2.12406802,843663
2006-07-27,2.25350404,2.25350404,2.1340251,2.15725708,2606318
2006-07-28,2.15725708,2.15725708,2.14995503,2.15725708,956654
2006-07-31,2.1353519,2.15725708,2.09751701,2.15725708,5525500
2006-08-01,2.10083604,2.17385101,2.10083604,2.11012912,115442465
2006-08-02,2.1904459,2.24553895,2.12406802,2.13734388,59093722
2006-08-03,2.21699595,2.32386398,2.21699595,2.223634,8824346
2006-08-04,2.29001093,2.31656194,2.23425388,2.25682306,33495893
2006-08-07,2.29001093,2.32319999,2.28337407,2.29001093,16330935
2006-08-08,2.29001093,2.36634493,2.25682306,2.32319999,11338148
2006-08-09,2.349751,2.349751,2.24952102,2.34244895,1562450
2006-08-10,2.223634,2.33050108,2.223634,2.24952102,36218622
2006-08-11,2.33050108,2.376302,2.32319999,2.349751,1110321
2006-08-14,2.32319999,2.349751,2.30992389,2.349751,26584509
2006-08-15,2.3364749,2.40285206,2.28403711,2.33050108,44179931
2006-08-16,2.3836031,2.40285206,2.376302,2.40285206,2220854
2006-08-17,2.38957691,2.51502991,2.38957691,2.39024091,63306467
2006-08-18,2.45529008,2.48914289,2.42276597,2.45595407,10702613
2006-08-21,2.48914289,2.50241804,2.38957691,2.48914289,6634346
2006-08-22,2.3364749,2.522331,2.3364749,2.38957691,12669480
2006-08-23,2.47586703,2.47586703,2.32253599,2.47586703,27213596
2006-08-24,2.37032795,2.40285206,2.33050108,2.38957691,1935907
2006-08-25,2.40617108,2.45529008,2.29001093,2.38957691,125183693
2006-08-28,2.38957691,2.48914289,2.3636899,2.45529008,58297786
2006-08-29,2.45595407,2.522331,2.45595407,2.48914289,3575326
2006-08-30,2.48250508,2.55552006,2.4592731,2.48980594,11444465
2006-08-31,2.5356071,2.65508604,2.5356071,2.5356071,87147834
2006-09-01,2.63450909,2.65508604,2.54888201,2.62189698,35690730
2006-09-04,2.65442204,2.68827391,2.61525893,2.61525893,25108579
2006-09-05,2.65508604,2.65508604,2.57543302,2.65110302,25104798
2006-09-06,2.5356071,2.60530305,2.50241804,2.57543302,23006003
2006-09-07,2.57543302,2.57543302,2.57543302,2.57543302,0
2006-09-08,2.64844799,2.72146297,2.60530305,2.60530305,12550779
