date,open,high,low,close,volume
2000-01-03,2.17777705,2.18000007,2.12222195,2.13333297,571500
2000-01-04,2.11111093,2.11111093,2.05555511,2.05555511,1121400
2000-01-05,2.06666589,2.25555491,2.05555511,2.25111103,1602450
2000-01-06,2.22222209,2.45555496,2.22222209,2.45555496,3084300
2000-01-07,2.45555496,2.57777691,2.44444394,2.55333304,2871000
2000-01-10,2.5999999,2.88888788,2.5999999,2.81777692,4137750
2000-01-11,2.77777696,2.86666608,2.5999999,2.66666603,3211650
2000-01-12,2.65333295,2.65333295,2.48888803,2.53555489,4891050
2000-01-13,2.57777691,2.62222195,2.35555506,2.44444394,1505250
2000-01-14,2.44444394,2.48888803,2.36666608,2.48888803,2822400
2000-01-17,2.44444394,2.52222204,2.41111112,2.50444388,2023650
2000-01-18,2.44444394,2.53333306,2.3777771,2.4000001,1807650
2000-01-19,2.4000001,2.446666,2.33333302,2.36666608,2295000
2000-01-20,2.36666608,2.51111102,2.36666608,2.51111102,1899000
2000-01-21,2.53333306,2.53333306,2.4000001,2.48888803,883800
2000-01-24,2.48888803,2.50888801,2.4222219,2.46666598,909450
2000-01-25,2.46666598,2.46666598,2.46666598,2.46666598,0
2000-01-26,2.44444394,2.48666596,2.4222219,2.48666596,777150
2000-01-27,2.48666596,2.48888803,2.4222219,2.4222219,1012050
2000-01-28,2.4222219,2.4222219,2.24444389,2.35555506,668700
2000-01-31,2.31111097,2.33333302,2.20000005,2.33333302,786150
2000-02-01,2.3777771,2.3777771,2.22222209,2.3777771,707400
2000-02-02,2.3777771,2.4000001,2.24444389,2.3777771,468900
2000-02-03,2.44444394,2.44444394,2.34444404,2.3777771,668250
2000-02-04,2.3777771,2.50666595,2.3777771,2.477777,2007000
2000-02-07,2.50888801,2.50888801,2.446666,2.45555496,2585700
2000-02-08,2.46666598,2.62222195,2.46666598,2.51111102,3021300
2000-02-09,2.46666598,2.46666598,2.4222219,2.46666598,1592100
2000-02-10,2.44222212,2.46444392,2.4222219,2.44444394,2188800
2000-02-11,2.4222219,2.46666598,2.31111097,2.31111097,1073700
2000-02-14,2.42666602,2.42666602,2.20000005,2.22222209,1162350
2000-02-15,2.22222209,2.22222209,2.11111093,2.20000005,2307600
2000-02-16,2.22222209,2.31111097,2.20000005,2.25555491,1794600
2000-02-17,2.28888798,2.34444404,2.28888798,2.31999993,1239300
2000-02-18,2.24444389,2.24444389,2.19111109,2.22222209,1042650
2000-02-21,2.21111107,2.31111097,2.21111107,2.25555491,904050
2000-02-22,2.29999995,2.31111097,2.20000005,2.21111107,828000
2000-02-23,2.23333311,2.23333311,2.18888807,2.20000005,1288800
2000-02-24,2.22222209,2.31111097,2.11111093,2.22000003,1448550
2000-02-25,2.22222209,2.22222209,2.11111093,2.11111093,881100
2000-02-28,2.12222195,2.12222195,2.08888793,2.0999999,451800
2000-02-29,2.13333297,2.21777701,2.09111094,2.11111093,380250
2000-03-01,2.08888793,2.0999999,2.02222204,2.08666611,593550
2000-03-02,2.05777693,2.05777693,1.93333304,1.96666598,8419950
2000-03-03,2.0,2.08888793,1.94444394,2.04444408,3476700
2000-03-06,2.04444408,2.04444408,2.04444408,2.04444408,0
2000-03-07,2.04444408,2.04444408,2.04444408,2.04444408,0
2000-03-08,2.03777695,2.13333297,2.03777695,2.04444408,1197900
2000-03-09,2.08888793,2.16666603,2.07777691,2.12888789,2456100
2000-03-10,2.12888789,2.13333297,2.04444408,2.05555511,1199700
2000-03-13,2.04444408,2.04444408,1.95555496,1.977777,2297250
2000-03-14,2.0,2.04666591,1.89999998,1.95555496,622350
2000-03-15,1.95555496,1.96666598,1.89999998,1.96666598,421650
2000-03-16,2.02222204,2.02222204,1.95555496,2.0,2746800
