date,open,high,low,close,volume
2000-01-03,3.5,3.54250002,3.5,3.5,585600
2000-01-04,3.46666598,3.47416592,3.41666603,3.41666603,782400
2000-01-05,3.375,3.41666603,3.375,3.41666603,1876800
2000-01-06,3.41666603,3.5,3.41666603,3.41666603,792000
2000-01-07,3.45833302,3.55916595,3.45833302,3.54166603,5347200
2000-01-10,3.75,3.83333302,3.75,3.83333302,2980800
2000-01-11,3.83333302,3.85833311,3.80833292,3.84166598,326400
2000-01-12,3.8499999,3.91666603,3.84166598,3.87916589,5068800
2000-01-13,4.00833321,4.00833321,4.00833321,4.00833321,120000
2000-01-14,4.01749992,4.08333302,4.01749992,4.08333302,3484800
2000-01-17,4.08333302,4.16666603,4.08333302,4.16666603,230400
2000-01-18,4.125,4.125,4.0250001,4.04166603,3724800
2000-01-19,4.04166603,4.05083323,4.0,4.0250001,1872000
2000-01-20,4.0,4.0,4.0,4.0,748800
2000-01-21,4.0,4.0,3.91666603,3.91666603,144000
2000-01-24,3.91666603,4.04166603,3.91666603,4.0,705600
2000-01-25,4.0,4.0,4.0,4.0,0
2000-01-26,3.96666598,3.96666598,3.96666598,3.96666598,196800
2000-01-27,4.04166603,4.04166603,4.0,4.0,686400
2000-01-28,4.0,4.0,4.0,4.0,211200
2000-01-31,4.0,4.0,4.0,4.0,0
2000-02-01,3.91666603,3.91666603,3.91666603,3.91666603,148800
2000-02-02,3.95000005,3.95000005,3.75,3.75,739200
2000-02-03,3.70833302,3.83333302,3.70833302,3.75,4382400
2000-02-04,3.75,3.89166594,3.75,3.89166594,345600
2000-02-07,3.91666603,4.08333302,3.91666603,4.08333302,81600
2000-02-08,4.08333302,4.32083321,4.08333302,4.32083321,1036800
2000-02-09,4.25833321,4.36666584,4.25,4.25,6081600
2000-02-10,4.25,4.25,4.0,4.0,3969600
2000-02-11,4.0,4.0,3.790833,3.790833,43200
2000-02-14,3.79166603,3.79166603,3.74166608,3.74166608,278400
2000-02-15,3.74166608,3.83333302,3.58333302,3.83333302,158400
2000-02-16,3.83333302,3.83333302,3.83333302,3.83333302,470400
2000-02-17,3.75,3.75,3.75,3.75,9600
2000-02-18,3.75,3.75,3.75,3.75,28800
2000-02-21,3.75,3.75,3.74916601,3.75,52800
2000-02-22,3.66666603,3.66666603,3.66666603,3.66666603,422400
2000-02-23,3.83333302,3.83333302,3.66666603,3.75,792000
2000-02-24,3.75,3.75,3.70833302,3.70833302,340800
2000-02-25,3.66666603,3.66666603,3.66666603,3.66666603,38400
2000-02-28,3.625,3.625,3.58333302,3.58333302,81600
2000-02-29,3.57500005,3.57500005,3.4000001,3.4000001,465600
2000-03-01,3.4000001,3.41666603,3.37416601,3.41666603,244800
2000-03-02,3.33333302,3.33333302,3.33166599,3.33166599,624000
2000-03-03,3.33333302,3.33333302,3.290833,3.290833,571200
2000-03-06,3.290833,3.290833,3.290833,3.290833,0
2000-03-07,3.290833,3.290833,3.290833,3.290833,0
2000-03-08,3.31500006,3.31500006,3.290833,3.30916595,158400
2000-03-09,3.25,3.29166603,3.24166608,3.24166608,336000
2000-03-10,3.25,3.25,3.16666603,3.16666603,211200
2000-03-13,3.16666603,3.16666603,3.16666603,3.16666603,0
2000-03-14,3.13333297,3.13333297,3.0,3.0,475200
2000-03-15,3.0,3.0,3.0,3.0,216000
2000-03-16,3.0,3.04999995,3.0,3.04999995,13742400
2000-03-17,3.08333302,3.08333302,3.02416611,3.02416611,6254400
2000-03-20,3.0250001,3.0250001,2.75,2.83333302,1041600
2000-03-21,2.875,2.92166591,2.875,2.92166591,81600
2000-03-22,2.95083308,3.04999995,2.95083308,2.9749999,2020800
2000-03-23,2.94583297,3.05833292,2.94166589,3.04166603,681600
2000-03-24,3.08333302,3.20833302,3.05833292,3.20833302,1377600
2000-03-27,3.25,3.29166603,3.20833302,3.29166603,1262400
2000-03-28,3.25,3.33249998,3.125,3.19166589,1233600
2000-03-29,3.25,3.25833297,3.125,3.25166607,772800
2000-03-30,3.25833297,3.29166603,3.24833298,3.24833298,28800
2000-03-31,3.20833302,3.33333302,3.19166589,3.33333302,1003200
2000-04-03,3.31666589,3.41666603,3.29166603,3.41666603,585600
2000-04-04,3.33333302,3.375,3.16666603,3.25,1036800
2000-04-05,3.32500005,3.40833306,3.32500005,3.375,566400
2000-04-06,3.41666603,3.42499995,3.33333302,3.41666603,3528000
2000-04-07,3.41666603,3.41666603,3.375,3.375,115200
2000-04-10,3.3499999,3.35916591,3.33083296,3.33083296,1420800
2000-04-11,3.25,3.33333302,3.25,3.32999992,1800000
2000-04-12,3.32999992,3.32999992,3.32999992,3.32999992,0
2000-04-13,3.25,3.25,3.25,3.25,96000
2000-04-14,3.16666603,3.16666603,3.07500005,3.08333302,1497600
2000-04-17,3.08333302,3.08333302,2.95833302,3.0,1396800
2000-04-18,2.91750002,3.040833,2.91750002,3.0,638400
2000-04-19,3.00833297,3.0250001,2.92499995,2.92499995,936000
2000-04-20,3.08333302,3.08333302,3.04999995,3.07083297,777600
2000-04-21,3.07083297,3.07083297,3.07083297,3.07083297,0
2000-04-24,3.04999995,3.04999995,2.91666603,3.04166603,6235200
2000-04-25,3.165833,3.165833,3.165833,3.165833,91200
2000-04-26,3.16666603,3.32500005,3.16666603,3.32500005,2188800
2000-04-27,3.28333306,3.29166603,3.23250008,3.23333311,1521600
2000-04-28,3.29166603,3.375,3.29166603,3.33333302,9720000
2000-05-01,3.33333302,3.33333302,3.33333302,3.33333302,0
2000-05-02,3.29166603,3.34249997,3.29166603,3.34249997,81600
2000-05-03,3.33333302,3.375,3.30833292,3.31666589,2064000
2000-05-04,3.31666589,3.31666589,3.29166603,3.29166603,1828800
2000-05-05,3.29166603,3.33333302,3.29166603,3.33333302,1752000
2000-05-08,3.33333302,3.33333302,3.29166603,3.29166603,787200
2000-05-09,3.25,3.25,3.25,3.25,120000
2000-05-10,3.33333302,3.33333302,3.24916601,3.33333302,8472000
2000-05-11,3.25,3.25,3.23333311,3.23333311,758400
2000-05-12,3.20833302,3.24166608,3.19166589,3.19166589,1238400
2000-05-15,3.20833302,3.24166608,3.19166589,3.24166608,2126400
