strategy,family,tickers_tested,common_start,common_end,initial_cash_per_ticker_brl,mean_final_equity_brl,mean_final_profit_brl,mean_final_return_pct,median_final_return_pct,profitable_tickers,losing_tickers,losing_years,mean_annual_return_pct,best_year,best_year_return_pct,worst_year,worst_year_return_pct,max_trade_gain_pct,max_trade_loss_pct,completed_trades_total
macd_24_52_18,tendencia,40,2017-02-24,2026-09-10,1000.0,2868.7659,1868.7659,186.8766,138.6785,38,2,2021;2022;2024,12.8118,2020,43.09,2021,-9.7235,141.4125,-30.5105,1812
macd_19_39_9,tendencia,40,2017-02-24,2026-09-10,1000.0,2658.8882,1658.8882,165.8888,123.3291,37,3,2021;2024,11.1262,2020,36.3717,2024,-10.7611,154.9855,-33.0455,2865
macd_12_26_12,tendencia,40,2017-02-24,2026-09-10,1000.0,2597.7841,1597.7841,159.7784,101.6408,35,5,2021;2024,9.9917,2020,31.8354,2024,-10.3695,126.6977,-28.7653,3345
ema_cross_5_20,tendencia,40,2017-02-24,2026-09-10,1000.0,2446.6334,1446.6334,144.6633,111.9355,33,7,2021;2022;2024,10.6239,2020,32.7661,2024,-11.2182,146.1275,-33.1889,2852
sma_cross_5_20,tendencia,40,2017-02-24,2026-09-10,1000.0,2354.4281,1354.4281,135.4428,99.4919,34,6,2021;2022;2024,10.6753,2020,29.7313,2024,-10.0759,123.5659,-33.3317,2846
macd_10_30_9,tendencia,40,2017-02-24,2026-09-10,1000.0,2343.5864,1343.5864,134.3586,91.488,35,5,2021;2024,8.4213,2020,21.8031,2024,-10.1669,116.2545,-27.101,3902
macd_12_26_5,tendencia,40,2017-02-24,2026-09-10,1000.0,2189.3577,1189.3577,118.9358,67.7645,29,11,2021;2024,6.9504,2025,18.555,2024,-9.5461,87.8669,-28.2741,4855
sma_cross_10_50,tendencia,40,2017-02-24,2026-09-10,1000.0,2177.5399,1177.5399,117.754,41.0499,34,6,2021;2022;2024,9.8585,2020,35.7578,2024,-12.2829,429.4048,-23.3129,1269
ema_cross_10_30,tendencia,40,2017-02-24,2026-09-10,1000.0,2132.6554,1132.6554,113.2655,51.8116,33,7,2021;2022;2024,9.9188,2020,29.4796,2024,-12.0759,297.669,-21.0657,1630
donchian_breakout_20_10_trend50,rompimento,40,2017-02-24,2026-09-10,1000.0,2022.3854,1022.3854,102.2385,61.1427,32,8,2021;2022;2024,8.4439,2020,27.8118,2024,-10.5294,157.8381,-25.9393,1396
donchian_breakout_20_10,rompimento,40,2017-02-24,2026-09-10,1000.0,1976.6976,976.6976,97.6698,53.8889,31,9,2021;2022;2024,8.2522,2020,25.99,2024,-11.7671,157.8381,-35.2681,1441
macd_8_17_9,tendencia,40,2017-02-24,2026-09-10,1000.0,1921.4016,921.4016,92.1402,65.1943,30,10,2021;2024,5.6563,2025,17.9233,2024,-10.7342,62.9268,-28.2741,4910
donchian_breakout_10_5,rompimento,40,2017-02-24,2026-09-10,1000.0,1875.2631,875.2631,87.5263,48.8226,30,10,2021;2022;2024,6.3309,2019,20.3877,2024,-9.6305,116.2545,-35.2681,2457
