strategy,family,ticker,start_date,end_date,initial_cash_brl,final_equity_brl,final_profit_brl,final_return_pct,completed_trades,max_trade_gain_pct,max_trade_loss_pct
donchian_breakout_100_50,rompimento,ABEV3,2000-01-05,2026-09-10,1000.0,9856.341,8856.341,885.6341,25,133.4998,-13.8078
donchian_breakout_100_50,rompimento,B3SA3,2007-10-26,2026-09-10,1000.0,953.7894,-46.2106,-4.6211,19,58.1685,-20.1503
donchian_breakout_100_50,rompimento,BBAS3,2000-01-03,2026-09-10,1000.0,1381.3951,381.3951,38.1395,29,92.0,-24.6154
donchian_breakout_100_50,rompimento,BBDC4,2008-01-02,2026-09-10,1000.0,215.2377,-784.7623,-78.4762,22,31.09,-36.2728
donchian_breakout_100_50,rompimento,BBSE3,2013-04-29,2026-09-10,1000.0,470.41,-529.59,-52.959,17,9.7521,-18.1388
donchian_breakout_100_50,rompimento,BPAC11,2017-02-24,2026-09-10,1000.0,3739.0448,2739.0448,273.9045,8,128.1236,-13.6683
donchian_breakout_100_50,rompimento,BRAP4,2000-01-03,2026-09-10,1000.0,3876.6979,2876.6979,287.6698,25,135.8655,-29.5407
donchian_breakout_100_50,rompimento,CMIG4,2000-01-03,2026-09-10,1000.0,20.2246,-979.7754,-97.9775,32,53.351,-97.3202
donchian_breakout_100_50,rompimento,CPFE3,2000-01-03,2026-09-10,1000.0,1024.9625,24.9625,2.4962,21,70.5885,-28.1437
donchian_breakout_100_50,rompimento,CPLE3,2000-01-03,2026-09-10,1000.0,4793.7412,3793.7412,379.3741,24,189.8678,-14.366
donchian_breakout_100_50,rompimento,CSMG3,2006-02-08,2026-09-10,1000.0,2489.4206,1489.4206,148.9421,22,109.82,-22.6316
donchian_breakout_100_50,rompimento,CSNA3,2000-01-03,2026-09-10,1000.0,8118.9183,7118.9183,711.8918,26,227.7311,-32.5386
donchian_breakout_100_50,rompimento,CYRE3,2000-01-03,2026-09-10,1000.0,4852.329,3852.329,385.2329,25,781.579,-30.266
donchian_breakout_100_50,rompimento,EGIE3,2002-03-01,2026-09-10,1000.0,1609.3327,609.3327,60.9333,22,115.7768,-14.3323
donchian_breakout_100_50,rompimento,ENEV3,2007-12-14,2026-09-10,1000.0,7614.3155,6614.3155,661.4316,12,180.5755,-16.75
donchian_breakout_100_50,rompimento,ENGI11,2009-11-03,2026-09-10,1000.0,890.7781,-109.2219,-10.9222,16,57.7093,-19.2308
donchian_breakout_100_50,rompimento,EQTL3,2008-04-07,2026-09-10,1000.0,1214.5478,214.5478,21.4548,22,44.165,-35.9196
donchian_breakout_100_50,rompimento,GGBR4,2000-01-03,2026-09-10,1000.0,2303.1137,1303.1137,130.3114,24,84.9138,-41.6716
donchian_breakout_100_50,rompimento,GOAU4,2000-01-03,2026-09-10,1000.0,30037.9999,29037.9999,2903.8,21,327.8777,-24.4092
donchian_breakout_100_50,rompimento,HYPE3,2008-04-18,2026-09-10,1000.0,3895.9199,2895.9199,289.592,13,210.8,-17.0654
donchian_breakout_100_50,rompimento,ITSA4,2000-01-03,2026-09-10,1000.0,1822.8825,822.8825,82.2883,28,119.0661,-26.636
donchian_breakout_100_50,rompimento,ITUB4,2000-12-21,2026-09-10,1000.0,1132.3021,132.3021,13.2302,28,105.3265,-18.75
donchian_breakout_100_50,rompimento,KLBN11,2014-01-23,2026-09-10,1000.0,1245.9253,245.9253,24.5925,10,68.5624,-16.6818
donchian_breakout_100_50,rompimento,LREN3,2000-01-04,2026-09-10,1000.0,4824.4746,3824.4746,382.4475,19,195.5498,-27.2925
donchian_breakout_100_50,rompimento,MGLU3,2011-05-02,2026-09-10,1000.0,22359.4152,21359.4152,2135.9415,9,2131.5797,-32.4515
donchian_breakout_100_50,rompimento,MULT3,2007-07-27,2026-09-10,1000.0,1572.0408,572.0408,57.2041,18,82.7208,-15.2325
donchian_breakout_100_50,rompimento,PETR4,2000-01-03,2026-09-10,1000.0,708.1806,-291.8194,-29.1819,30,46.0485,-24.4528
donchian_breakout_100_50,rompimento,PSSA3,2004-11-22,2026-09-10,1000.0,1914.5591,914.5591,91.4559,22,40.4256,-20.2538
donchian_breakout_100_50,rompimento,RADL3,2000-01-06,2026-09-10,1000.0,237408.4069,236408.4069,23640.8407,20,1411.6343,-16.1937
donchian_breakout_100_50,rompimento,RAIL3,2015-04-02,2026-09-10,1000.0,2260.8999,1260.8999,126.09,6,134.6103,-13.1305
donchian_breakout_100_50,rompimento,RENT3,2005-05-23,2026-09-10,1000.0,6358.3038,5358.3038,535.8304,21,173.5821,-21.466
donchian_breakout_100_50,rompimento,SANB11,2009-10-07,2026-09-10,1000.0,1105.6666,105.6666,10.5667,14,62.0397,-10.8923
donchian_breakout_100_50,rompimento,SBSP3,2000-01-03,2026-09-10,1000.0,3277.4163,2277.4163,227.7416,26,114.0722,-25.5
donchian_breakout_100_50,rompimento,SMTO3,2007-02-12,2026-09-10,1000.0,422.3102,-577.6898,-57.769,22,26.2905,-19.3174
donchian_breakout_100_50,rompimento,SUZB3,2004-08-05,2026-09-10,1000.0,1344.9703,344.9703,34.497,10,79.8652,-19.4016
donchian_breakout_100_50,rompimento,TOTS3,2006-03-09,2026-09-10,1000.0,2684.5729,1684.5729,168.4573,17,124.9783,-24.0938
donchian_breakout_100_50,rompimento,UGPA3,2002-12-11,2026-09-10,1000.0,1566.1838,566.1838,56.6184,18,83.1178,-26.2166
donchian_breakout_100_50,rompimento,USIM5,2000-01-03,2026-09-10,1000.0,12027.4085,11027.4085,1102.7409,24,348.2228,-28.2468
donchian_breakout_100_50,rompimento,VALE3,2000-01-03,2026-09-10,1000.0,4151.9745,3151.9745,315.1974,25,71.523,-36.5455
donchian_breakout_100_50,rompimento,WEGE3,2000-01-03,2026-09-10,1000.0,37627.9634,36627.9634,3662.7963,22,217.7969,-17.5817
donchian_breakout_100_50_trend200,rompimento,ABEV3,2000-01-05,2026-09-10,1000.0,5148.1962,4148.1962,414.8196,25,129.4643,-13.8078
donchian_breakout_100_50_trend200,rompimento,B3SA3,2007-10-26,2026-09-10,1000.0,840.3027,-159.6973,-15.9697,19,58.1685,-20.1503
donchian_breakout_100_50_trend200,rompimento,BBAS3,2000-01-03,2026-09-10,1000.0,1275.3951,275.3951,27.5395,29,92.0,-24.6154
donchian_breakout_100_50_trend200,rompimento,BBDC4,2008-01-02,2026-09-10,1000.0,206.0477,-793.9523,-79.3952,22,31.09,-36.2728
donchian_breakout_100_50_trend200,rompimento,BBSE3,2013-04-29,2026-09-10,1000.0,468.3699,-531.6301,-53.163,16,9.7521,-18.1388
donchian_breakout_100_50_trend200,rompimento,BPAC11,2017-02-24,2026-09-10,1000.0,3288.1648,2288.1648,228.8165,8,128.1236,-16.087
donchian_breakout_100_50_trend200,rompimento,BRAP4,2000-01-03,2026-09-10,1000.0,3399.3913,2399.3913,239.9391,25,135.8655,-29.5407
donchian_breakout_100_50_trend200,rompimento,CMIG4,2000-01-03,2026-09-10,1000.0,29.7454,-970.2546,-97.0255,31,53.351,-97.3202
donchian_breakout_100_50_trend200,rompimento,CPFE3,2000-01-03,2026-09-10,1000.0,1434.3211,434.3211,43.4321,20,70.5885,-27.2728
donchian_breakout_100_50_trend200,rompimento,CPLE3,2000-01-03,2026-09-10,1000.0,4397.7581,3397.7581,339.7758,23,189.8678,-15.7877
donchian_breakout_100_50_trend200,rompimento,CSMG3,2006-02-08,2026-09-10,1000.0,2768.4649,1768.4649,176.8465,20,109.82,-22.6316
donchian_breakout_100_50_trend200,rompimento,CSNA3,2000-01-03,2026-09-10,1000.0,7916.4241,6916.4241,691.6424,25,227.7311,-32.8358
donchian_breakout_100_50_trend200,rompimento,CYRE3,2000-01-03,2026-09-10,1000.0,4778.019,3778.019,377.8019,25,781.579,-30.266
donchian_breakout_100_50_trend200,rompimento,EGIE3,2002-03-01,2026-09-10,1000.0,1609.3327,609.3327,60.9333,22,115.7768,-14.3323
donchian_breakout_100_50_trend200,rompimento,ENEV3,2007-12-14,2026-09-10,1000.0,6040.5413,5040.5413,504.0541,11,180.5755,-16.75
donchian_breakout_100_50_trend200,rompimento,ENGI11,2009-11-03,2026-09-10,1000.0,890.7781,-109.2219,-10.9222,16,57.7093,-19.2308
donchian_breakout_100_50_trend200,rompimento,EQTL3,2008-04-07,2026-09-10,1000.0,1071.5583,71.5583,7.1558,22,44.165,-35.9196
donchian_breakout_100_50_trend200,rompimento,GGBR4,2000-01-03,2026-09-10,1000.0,2257.9154,1257.9154,125.7915,23,84.9138,-41.6716
donchian_breakout_100_50_trend200,rompimento,GOAU4,2000-01-03,2026-09-10,1000.0,30037.9999,29037.9999,2903.8,21,327.8777,-24.4092
donchian_breakout_100_50_trend200,rompimento,HYPE3,2008-04-18,2026-09-10,1000.0,3895.9199,2895.9199,289.592,13,210.8,-17.0654
donchian_breakout_100_50_trend200,rompimento,ITSA4,2000-01-03,2026-09-10,1000.0,1896.2932,896.2932,89.6293,27,119.0661,-26.636
donchian_breakout_100_50_trend200,rompimento,ITUB4,2000-12-21,2026-09-10,1000.0,1132.3021,132.3021,13.2302,28,105.3265,-18.75
donchian_breakout_100_50_trend200,rompimento,KLBN11,2014-01-23,2026-09-10,1000.0,1238.6885,238.6885,23.8688,10,67.2414,-16.6818
donchian_breakout_100_50_trend200,rompimento,LREN3,2000-01-04,2026-09-10,1000.0,2862.8964,1862.8964,186.2896,19,178.6279,-27.2925
donchian_breakout_100_50_trend200,rompimento,MGLU3,2011-05-02,2026-09-10,1000.0,19852.9995,18852.9995,1885.3,9,1883.0757,-32.4515
donchian_breakout_100_50_trend200,rompimento,MULT3,2007-07-27,2026-09-10,1000.0,1572.0408,572.0408,57.2041,18,82.7208,-15.2325
donchian_breakout_100_50_trend200,rompimento,PETR4,2000-01-03,2026-09-10,1000.0,669.8519,-330.1481,-33.0148,29,46.0485,-24.4528
donchian_breakout_100_50_trend200,rompimento,PSSA3,2004-11-22,2026-09-10,1000.0,1914.5591,914.5591,91.4559,22,40.4256,-20.2538
donchian_breakout_100_50_trend200,rompimento,RADL3,2000-01-06,2026-09-10,1000.0,189813.627,188813.627,18881.3627,20,1411.6343,-16.1937
donchian_breakout_100_50_trend200,rompimento,RAIL3,2015-04-02,2026-09-10,1000.0,2181.3098,1181.3098,118.131,6,134.6103,-13.1305
donchian_breakout_100_50_trend200,rompimento,RENT3,2005-05-23,2026-09-10,1000.0,2739.8981,1739.8981,173.9898,21,69.3751,-21.466
donchian_breakout_100_50_trend200,rompimento,SANB11,2009-10-07,2026-09-10,1000.0,1070.3987,70.3987,7.0399,14,62.0397,-11.625
donchian_breakout_100_50_trend200,rompimento,SBSP3,2000-01-03,2026-09-10,1000.0,3341.9176,2341.9176,234.1918,25,114.0722,-25.5
donchian_breakout_100_50_trend200,rompimento,SMTO3,2007-02-12,2026-09-10,1000.0,422.3102,-577.6898,-57.769,22,26.2905,-19.3174
donchian_breakout_100_50_trend200,rompimento,SUZB3,2004-08-05,2026-09-10,1000.0,1295.0703,295.0703,29.507,10,79.8652,-19.4016
