decision_date,execution_date,uptrend_tickers,eligible_tickers,selected_ticker,selected_momentum_126_pct
2017-02-24,2017-03-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;UGPA3;VALE3;WEGE3,B3SA3;BBAS3;BBDC4;BBSE3;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;SANB11;SBSP3;VALE3;WEGE3,MGLU3,230.85854162071152
2017-03-31,2017-04-03,ABEV3;BBSE3;ENEV3;HYPE3;LREN3;RENT3;TOTS3;UGPA3,ENEV3;HYPE3;LREN3;RENT3;UGPA3,ENEV3,12.40310426056137
2017-04-28,2017-05-02,ABEV3;BBDC4;BBSE3;ENEV3;HYPE3;KLBN11;LREN3;MGLU3;RADL3;RENT3,BBDC4;ENEV3;HYPE3;LREN3;MGLU3;RENT3,MGLU3,126.82752549414337
2017-05-31,2017-06-01,CPFE3;CSNA3;GGBR4;KLBN11;PSSA3;RADL3;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,CPFE3;KLBN11;PSSA3;RADL3;TOTS3;UGPA3;WEGE3,TOTS3,28.425530648333954
2017-06-30,2017-07-03,B3SA3;BBDC4;BRAP4;CMIG4;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITUB4;SANB11;SBSP3;USIM5;VALE3,B3SA3;BBDC4;BRAP4;CMIG4;CSMG3;CYRE3;ENGI11;EQTL3;ITUB4;SBSP3;USIM5;VALE3,BRAP4,39.94566700517383
2017-07-31,2017-08-01,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;USIM5;VALE3;WEGE3,ABEV3;B3SA3;BBDC4;BRAP4;CPFE3;CSMG3;ENEV3;ENGI11;ITSA4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SBSP3;WEGE3,MGLU3,195.18068584571134
2017-08-31,2017-09-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RENT3;SANB11;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,ABEV3;B3SA3;BBDC4;BRAP4;CYRE3;ENEV3;EQTL3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RENT3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,MGLU3,191.26714738906264
2017-09-29,2017-10-02,ABEV3;B3SA3;BBAS3;BBSE3;BPAC11;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;PETR4;PSSA3;RADL3;RAIL3;SBSP3;SMTO3;UGPA3,ABEV3;B3SA3;BBAS3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;PETR4;PSSA3;RADL3;RAIL3;SMTO3;UGPA3,LREN3,42.99206936695823
2017-10-31,2017-11-01,BPAC11;PETR4;RAIL3;TOTS3;UGPA3,BPAC11;PETR4;RAIL3;TOTS3;UGPA3,RAIL3,36.85345021017581
2017-11-30,2017-12-01,BRAP4;CSMG3;ENEV3;ENGI11;EQTL3;GGBR4;RADL3;RENT3;SBSP3;VALE3;WEGE3,BRAP4;CSMG3;ENGI11;EQTL3;GGBR4;RADL3;RENT3;SBSP3;VALE3;WEGE3,BRAP4,39.83427062659752
2017-12-29,2018-01-02,ABEV3;BBAS3;BBDC4;BBSE3;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;CYRE3;ENEV3;ENGI11;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;VALE3;WEGE3,ABEV3;BBAS3;BBDC4;BBSE3;BRAP4;CPLE3;CSNA3;CYRE3;ENEV3;ENGI11;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;RENT3;SANB11;SBSP3;SMTO3;VALE3;WEGE3,MGLU3,147.401718605132
2018-01-31,2018-02-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CSMG3;CSNA3;CYRE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5,USIM5,104.48274606004797
2018-02-28,2018-03-01,B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;USIM5;VALE3,B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPLE3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;USIM5;VALE3,USIM5,78.80986825040391
2018-03-29,2018-04-02,ABEV3;CMIG4;CPFE3;CPLE3;CSMG3;KLBN11;MGLU3;PSSA3;RENT3;SUZB3,ABEV3;CMIG4;CSMG3;KLBN11;MGLU3;PSSA3;RENT3;SUZB3,SUZB3,66.71664281135294
2018-04-30,2018-05-02,BRAP4;CSMG3;CSNA3;GGBR4;GOAU4;KLBN11;MGLU3;MULT3;RAIL3;SUZB3;TOTS3;VALE3;WEGE3,BRAP4;CSMG3;CSNA3;GGBR4;GOAU4;KLBN11;MGLU3;RAIL3;SUZB3;VALE3;WEGE3,SUZB3,105.19740578733617
2018-05-30,2018-06-01,SMTO3;WEGE3,SMTO3,SMTO3,1.5652200579709952
2018-06-29,2018-07-02,BBAS3;HYPE3;LREN3;MGLU3;MULT3;RADL3;SMTO3;UGPA3,MGLU3,MGLU3,65.57568673241585
2018-07-31,2018-08-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,BRAP4;CMIG4;CPFE3;EGIE3;ENGI11;GGBR4;GOAU4;KLBN11;MGLU3;PSSA3;RAIL3;SMTO3;VALE3,MGLU3,59.734300671849596
2018-08-31,2018-09-03,ABEV3;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;ENEV3;ENGI11;GOAU4;HYPE3;KLBN11;PSSA3;RADL3;SBSP3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,GOAU4;KLBN11;PSSA3;SUZB3;VALE3;WEGE3,SUZB3,117.01836247403467
2018-09-28,2018-10-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;USIM5;VALE3;WEGE3,BRAP4;CSNA3;ENEV3;GGBR4;GOAU4;RAIL3;VALE3;WEGE3,VALE3,41.71997392519251
2018-10-31,2018-11-01,B3SA3;BBAS3;BBDC4;BBSE3;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5,B3SA3;BBAS3;BBDC4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SMTO3,MGLU3,64.68292460553033
2018-11-30,2018-12-03,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3;SBSP3;SUZB3;TOTS3;UGPA3,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3;SBSP3;TOTS3,CPLE3,58.13253672823835
