rank,signal_strategy,family,initial_cash_brl,final_equity_brl,final_profit_brl,final_return_pct,max_drawdown_pct,mean_full_calendar_year_return_pct,losing_full_calendar_years,rebalance_count,order_count
1,macd_5_35_5,tendencia,1000.0,4265.383544168422,3265.3835441684223,326.53835441684225,-52.99490956329558,36.135316895092544,2021;2022;2024,115,210
2,rsi2_reversion_10_70,reversao,1000.0,3163.1437046059627,2163.1437046059627,216.31437046059628,-58.871885878726445,13.661380228558887,2020;2021,115,144
3,donchian_breakout_10_5,rompimento,1000.0,3093.1917774814247,2093.1917774814247,209.31917774814247,-74.33777761725602,32.00601953601969,2021;2022;2024,115,214
4,macd_8_17_9,tendencia,1000.0,2953.491697247658,1953.491697247658,195.3491697247658,-62.28056054715184,33.49599211303831,2021;2022;2024,115,206
5,sma_cross_100_200,tendencia,1000.0,2539.1397638025787,1539.1397638025787,153.91397638025785,-71.82867136226625,26.87480037066853,2021;2022;2024,115,200
6,macd_12_26_9_trend100,tendencia,1000.0,2506.4101261574497,1506.4101261574497,150.64101261574496,-75.65554426890195,34.54818308581487,2021;2022;2024,115,216
7,macd_10_30_9,tendencia,1000.0,2504.1405540408746,1504.1405540408746,150.41405540408746,-75.66241806607607,33.10885455812496,2021;2022;2024,115,218
8,macd_24_52_18,tendencia,1000.0,2363.172912418491,1363.1729124184908,136.31729124184906,-78.56533010994991,25.51924267624119,2021;2022;2024,115,216
9,macd_12_26_5,tendencia,1000.0,2251.9039397342763,1251.9039397342763,125.19039397342762,-70.36941469387223,32.68331121147087,2021;2022;2024,115,210
10,ema_cross_50_100,tendencia,1000.0,2183.021028043747,1183.0210280437468,118.3021028043747,-75.8225276591908,27.970448821357998,2021;2022;2024,115,218
11,ema_cross_20_50,tendencia,1000.0,2143.235092418599,1143.235092418599,114.32350924185988,-79.1814590482242,27.020928042448027,2021;2022;2024,115,218
12,sma_cross_10_50,tendencia,1000.0,2143.235092418599,1143.235092418599,114.32350924185988,-79.1814590482242,27.020928042448027,2021;2022;2024,115,218
13,macd_12_26_9_trend200,tendencia,1000.0,2092.6707890313937,1092.6707890313937,109.26707890313936,-75.74180222102073,30.328467865758025,2021;2022;2024,115,218
14,macd_12_26_9_trend50,tendencia,1000.0,2090.477260211107,1090.477260211107,109.04772602111068,-75.74180222102073,30.338971436987453,2021;2022;2024,115,216
15,macd_19_39_9,tendencia,1000.0,2086.606494246691,1086.606494246691,108.66064942466909,-77.66964572636313,26.878462407251263,2021;2022;2024,115,218
16,ema_cross_100_200,tendencia,1000.0,2031.124877481575,1031.124877481575,103.1124877481575,-70.82898728938028,25.598036117530103,2021;2022;2024,115,218
17,donchian_breakout_55_20_trend200,rompimento,1000.0,2027.7946899162935,1027.7946899162935,102.77946899162936,-74.96775389281909,24.004916437239416,2021;2022;2024,115,214
18,sma_cross_5_20,tendencia,1000.0,1939.6096502220237,939.6096502220237,93.96096502220237,-77.24935044256014,25.58344297603759,2021;2022;2024,115,218
19,ema_cross_5_20,tendencia,1000.0,1938.9857350337059,938.9857350337059,93.89857350337059,-78.57104715459225,25.508427747003502,2021;2022;2024,115,218
20,macd_12_26_12,tendencia,1000.0,1928.4365178358864,928.4365178358864,92.84365178358864,-75.74695250632564,25.278424041125803,2021;2022;2024,115,220
21,sma_cross_50_100,tendencia,1000.0,1910.4042225531327,910.4042225531327,91.04042225531327,-75.49265166107541,21.81470193516698,2021;2022;2024,115,218
22,sma_cross_20_100,tendencia,1000.0,1827.4112908408497,827.4112908408497,82.74112908408497,-80.63334167596554,25.638495955825306,2021;2022;2024,115,218
23,ema_cross_10_30,tendencia,1000.0,1826.8728764835876,826.8728764835876,82.68728764835875,-78.46309724220575,24.215671606383157,2021;2022;2024,115,220
24,donchian_breakout_100_50,rompimento,1000.0,1801.2481361590915,801.2481361590915,80.12481361590915,-74.74858451269853,25.404060467627176,2021;2022;2024,115,214
25,donchian_breakout_100_50_trend200,rompimento,1000.0,1801.2481361590915,801.2481361590915,80.12481361590915,-74.74858451269853,25.404060467627176,2021;2022;2024,115,214
26,donchian_breakout_20_10_trend100,rompimento,1000.0,1795.749026067687,795.749026067687,79.57490260676872,-78.4046562762874,24.316216052206812,2021;2022;2024,115,216
27,donchian_breakout_55_20,rompimento,1000.0,1737.8176060244296,737.8176060244296,73.78176060244294,-78.44737093505422,22.663697801794328,2021;2022;2024,115,214
28,donchian_breakout_55_20_trend100,rompimento,1000.0,1737.8176060244296,737.8176060244296,73.78176060244294,-78.44737093505422,22.663697801794328,2021;2022;2024,115,214
29,donchian_breakout_20_10,rompimento,1000.0,1536.2986067720826,536.2986067720826,53.62986067720825,-78.43022334266774,22.210460552187534,2020;2021;2022;2024,115,218
30,donchian_breakout_20_10_trend50,rompimento,1000.0,1536.2986067720826,536.2986067720826,53.62986067720825,-78.43022334266774,22.210460552187534,2020;2021;2022;2024,115,218
31,donchian_breakout_40_20,rompimento,1000.0,1379.2958603587292,379.2958603587292,37.92958603587293,-81.59126218812978,19.687517658538358,2021;2022;2024,115,216
32,rsi14_reversion_30_70_trend200,reversao,1000.0,1137.8583514155332,137.8583514155332,13.785835141553315,-20.812845085739283,2.9730283425936683,2020;2023;2025,115,24
33,rsi14_reversion_25_60,reversao,1000.0,956.4120494678117,-43.5879505321883,-4.3587950532188335,-13.832984191712317,-0.4976801323773512,2018;2019,115,6
34,rsi7_reversion_25_65,reversao,1000.0,659.716686419534,-340.28331358046603,-34.02833135804661,-40.17125707949685,-2.4898542101067216,2019;2020;2022;2023,115,24
35,rsi5_reversion_20_65_trend100,reversao,1000.0,630.0666285620725,-369.93337143792746,-36.99333714379275,-46.49683201134799,-3.066000686108267,2021;2022;2023;2024,115,32
36,rsi3_reversion_15_70,reversao,1000.0,507.74320465778584,-492.25679534221416,-49.22567953422141,-71.04422758006467,-6.483805135347119,2018;2020;2021;2022;2024,115,124
37,rsi2_reversion_5_70,reversao,1000.0,483.13268033220584,-516.8673196677942,-51.68673196677942,-76.29840061793344,-6.982681866846081,2019;2020;2021;2022;2024,115,88
38,rsi2_reversion_5_70_trend100,reversao,1000.0,483.13268033220584,-516.8673196677942,-51.68673196677942,-76.29840061793344,-6.982681866846081,2019;2020;2021;2022;2024,115,88
39,rsi2_reversion_5_70_trend200,reversao,1000.0,483.13268033220584,-516.8673196677942,-51.68673196677942,-76.29840061793344,-6.982681866846081,2019;2020;2021;2022;2024,115,88
40,rsi5_reversion_20_65,reversao,1000.0,479.3825389234118,-520.6174610765881,-52.06174610765881,-62.94849066616946,-6.069510159314241,2020;2021;2022;2023;2024,115,34
